row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,7.165.661.067.209,6.826.442.194.840,,1.0,25.0,7165661067209.0,6826442194840.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,133.608.551.433,138.005.245.929,,2.0,25.0,133608551433.0,138005245929.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,7.032.052.515.776,6.688.436.948.911,,10.0,,7032052515776.0,6688436948911.0
4.,4.,4.,Giá vốn hàng bán,11,26,6.097.549.387.736,5.281.802.405.304,,11.0,26.0,6097549387736.0,5281802405304.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,934.503.128.040,1.406.634.543.607,,20.0,,934503128040.0,1406634543607.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,128.629.786.142,176.146.051.932,,21.0,28.0,128629786142.0,176146051932.0
7.,7.,7.,Chi phí tài chính,22,29,100.731.194.779,256.850.892.352,,22.0,29.0,100731194779.0,256850892352.0
,,,- Trong đó: Chi phí lãi vay,23,,85.200.329.905,138.785.687.004,,23.0,,85200329905.0,138785687004.0
8.,8.,8.,Chi phí bán hàng,25,30,356.304.701.722,331.007.569.478,,25.0,30.0,356304701722.0,331007569478.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30,190.734.254.581,307.545.301.591,,26.0,30.0,190734254581.0,307545301591.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,415.362.763.100,687.376.832.118,,30.0,,415362763100.0,687376832118.0
11.,11.,11.,Thu nhập khác,31,31,48.480.136.648,14.253.913.513,,31.0,31.0,48480136648.0,14253913513.0
12.,12.,12.,Chi phí khác,32,31,3.472.166.901,4.752.795.164,,32.0,31.0,3472166901.0,4752795164.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,31,45.007.969.747,9.501.118.349,,40.0,31.0,45007969747.0,9501118349.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,460.370.732.847,696.877.950.467,,50.0,,460370732847.0,696877950467.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,39.829.588.814,44.647.599.359,,51.0,32.0,39829588814.0,44647599359.0
16.,16.,16.,(Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,(5.282.435.028),1.829.065.760,,52.0,,-5282435028.0,1829065760.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,425.823.579.061,650.401.285.348,,60.0,,425823579061.0,650401285348.0
