row_label_raw,row_label_full,31/12/2021,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,178.881.955.680,-,178.881.955.680,178881955680.0,,178881955680.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,3.923.000.000.000,-,3.923.000.000.000,3923000000000.0,,3923000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,96.135.888.234,-,96.135.888.234,96135888234.0,,96135888234.0
Phải thu khác,Phải thu khác,Phải thu khác,39.837.857.637,786.569.947,40.624.427.584,39837857637.0,786569947.0,40624427584.0
Cộng,Cộng,Cộng,4.237.855.701.551,786.569.947,4.238.642.271.498,4237855701551.0,786569947.0,4238642271498.0
01/01/2021,01/01/2021,01/01/2021,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2021 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,422.044.973.893,-,422.044.973.893,422044973893.0,,422044973893.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2021 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.639.000.000.000,-,2.639.000.000.000,2639000000000.0,,2639000000000.0
Phải thu khách hàng,01/01/2021 > Phải thu khách hàng,Phải thu khách hàng,76.582.828.093,-,76.582.828.093,76582828093.0,,76582828093.0
Phải thu khác,01/01/2021 > Phải thu khác,Phải thu khác,30.796.359.437,412.183.710,31.208.543.147,30796359437.0,412183710.0,31208543147.0
Cộng,01/01/2021 > Cộng,Cộng,3.168.424.161.423,412.183.710,3.168.836.345.133,3168424161423.0,412183710.0,3168836345133.0
