row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2021 VND,01/01/2021 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2021 VND,numeric__01/01/2021 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.780.862.739.898,2.544.964.442.741,,300.0,,2780862739898.0,2544964442741.0
I.,I.,I.,Nợ ngắn hạn,310,,2.709.771.959.560,2.517.260.603.822,,310.0,,2709771959560.0,2517260603822.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,363.762.300.188,382.734.453.855,,311.0,16.0,363762300188.0,382734453855.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,41.305.690.080,59.828.397.538,,312.0,17.0,41305690080.0,59828397538.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,18,60.933.337.962,125.910.909.419,,313.0,18.0,60933337962.0,125910909419.0
4.,4.,4.,Phải trả người lao động,314,,109.813.564.883,132.303.537.522,,314.0,,109813564883.0,132303537522.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,19,3.754.021.957,3.045.149.728,,315.0,19.0,3754021957.0,3045149728.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,18.181.818,-,,318.0,,18181818.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,20a,27.066.984.441,20.990.491.475,,319.0,,27066984441.0,20990491475.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,2.032.288.120.686,1.723.009.678.809,,320.0,21.0,2032288120686.0,1723009678809.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,70.829.757.545,69.437.985.476,,322.0,,70829757545.0,69437985476.0
II.,II.,II.,Nợ dài hạn,330,,71.090.780.338,27.703.838.919,,330.0,,71090780338.0,27703838919.0
1.,1.,1.,Phải trả dài hạn khác,337,20b,20.356.047.079,20.464.176.088,,337.0,,20356047079.0,20464176088.0
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,22,50.734.733.259,7.239.662.831,,343.0,22.0,50734733259.0,7239662831.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,7.094.887.530.449,6.605.366.506.554,,400.0,,7094887530449.0,6605366506554.0
I.,I.,I.,Vốn chủ sở hữu,410,23,7.094.887.530.449,6.605.366.506.554,,410.0,23.0,7094887530449.0,6605366506554.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,23,3.569.399.550.000,3.569.399.550.000,,411.0,23.0,3569399550000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.569.399.550.000,3.569.399.550.000,,,,3569399550000.0,3569399550000.0
1.,1.,1.,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,1. > 2.,2.,Thặng dư vốn cổ phần,412,23,353.499.663.780,353.499.663.780,,412.0,23.0,353499663780.0,353499663780.0
3.,1. > 3.,3.,Cổ phiếu quỹ,415,23,(834.457.318.216),(834.457.318.216),,415.0,23.0,-834457318216.0,-834457318216.0
4.,1. > 4.,4.,Quỹ đầu tư phát triển,418,23,638.166.434.928,606.577.096.243,,418.0,23.0,638166434928.0,606577096243.0
5.,1. > 5.,5.,Lợi nhuận sau thuế chưa phân phối,421,23,3.368.279.199.957,2.910.347.514.747,,421.0,23.0,3368279199957.0,2910347514747.0
5.,1. > 5.,5.,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,2.265.417.696.500,2.008.072.233.590,,,,2265417696500.0,2008072233590.0
5.,1. > 5.,5.,- LNST chưa phân phối kỳ này,421b,,1.102.861.503.457,902.275.281.157,,,,1102861503457.0,902275281157.0
6.,1. > 6.,6.,Lợi ích cổ đông không kiểm soát,429,,-,-,,429.0,,,
II.,1. > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,9.875.750.270.347,9.150.330.949.295,,440.0,,9875750270347.0,9150330949295.0
