row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm 2021,Năm 2020,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2021,numeric__Năm 2020
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,7.374.456.065.704,6.522.165.071.319,,1.0,25.0,7374456065704.0,6522165071319.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,26,39.161.673.649,32.401.244.522,,2.0,26.0,39161673649.0,32401244522.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,7.335.294.392.055,6.489.763.826.797,,10.0,,7335294392055.0,6489763826797.0
4.,4.,4.,Giá vốn hàng bán,11,27,5.073.234.436.282,4.438.284.191.180,,11.0,27.0,5073234436282.0,4438284191180.0
5.,5.,5.,Lợi nhuận gộp bán hàng và cung cấp dịch vụ,20,,2.262.059.955.773,2.051.479.635.617,,20.0,,2262059955773.0,2051479635617.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,142.915.484.776,142.064.834.469,,21.0,28.0,142915484776.0,142064834469.0
7.,7.,7.,Chi phí tài chính,22,29,66.281.421.486,71.847.485.893,,22.0,29.0,66281421486.0,71847485893.0
7.,7.,7.,Trong đó: Chi phí lãi vay,23,,65.880.925.449,71.041.570.755,,23.0,,65880925449.0,71041570755.0
8.,8.,8.,Chi phí bán hàng,25,30.a,693.932.847.200,654.113.883.340,,25.0,,693932847200.0,654113883340.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30.b,252.508.477.645,234.335.496.961,,26.0,,252508477645.0,234335496961.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.392.252.694.218,1.233.247.603.892,,30.0,,1392252694218.0,1233247603892.0
11.,11.,11.,Thu nhập khác,31,31,53.029.739.734,38.029.869.172,,31.0,31.0,53029739734.0,38029869172.0
12.,12.,12.,Chi phí khác,32,32,6.125.164.821,4.843.664.119,,32.0,32.0,6125164821.0,4843664119.0
13.,13.,13.,Lợi nhuận khác,40,,46.904.574.913,33.186.205.053,,40.0,,46904574913.0,33186205053.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,1.439.157.269.131,1.266.433.808.945,,50.0,,1439157269131.0,1266433808945.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,33,185.397.124.171,213.634.256.071,,51.0,33.0,185397124171.0,213634256071.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,195.966.503,(178.403.283),,52.0,,195966503.0,-178403283.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,1.253.564.178.457,1.052.977.956.157,,60.0,,1253564178457.0,1052977956157.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,1.253.564.178.457,1.052.977.956.157,,61.0,,1253564178457.0,1052977956157.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,,,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,34,4.117,3.459,,70.0,34.0,4117.0,3459.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,34,4.117,3.459,,71.0,34.0,4117.0,3459.0
