row_label_raw,row_label_full,Công ty TNHH Asia Packing Industries Việt Nam,31/12/2021 > 10.060.028.480,01/01/2021 > 10.125.886.595,numeric__31/12/2021 > 10.060.028.480,numeric__01/01/2021 > 10.125.886.595
Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,Công ty CP In bao bì Khatoco,7.998.353.896,9.249.572.524,7998353896.0,9249572524.0
Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,Công ty CP Tetra Pak Việt Nam,7.884.571.138,7.804.396.337,7884571138.0,7804396337.0
Công ty TNHH Truyền thông WPP,Công ty TNHH Truyền thông WPP,Công ty TNHH Truyền thông WPP,-,18.715.122.802,,18715122802.0
Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,Công ty CP Phân bón Việt Nhật,14.670.000.000,11.770.000.000,14670000000.0,11770000000.0
Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,Công ty CP Hóa chất Á Châu,7.152.838.000,7.708.167.500,7152838000.0,7708167500.0
Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,Công ty CP Bao bì Kinh Bắc,3.200.304.250,2.272.466.684,3200304250.0,2272466684.0
Công ty CP TKL,Công ty CP TKL,Công ty CP TKL,42.505.829.988,-,42505829988.0,
Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,Công ty TNHH SX-TM-DV Minh Thông,1.790.102.050,2.701.513.650,1790102050.0,2701513650.0
Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,Công ty TNHH MTV Úng Dụng & PT Công nghệ,113.113.552.660,130.642.075.208,113113552660.0,130642075208.0
Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,Công ty CP Xây dựng Đô thị & Khu Công nghiệp,394.623.800,4.651.956.950,394623800.0,4651956950.0
Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,Công ty TNHH TM &KT Nguyễn Liêu,1.824.734.851,3.681.569.310,1824734851.0,3681569310.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,153.167.361.075,173.411.726.295,153167361075.0,173411726295.0
Cộng,Cộng,Cộng,363.762.300.188,382.734.453.855,363762300188.0,382734453855.0
