row_label_raw,row_label_full,31/12/2021,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,363.762.300.188,-,363.762.300.188,363762300188.0,,363762300188.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,3.754.021.957,-,3.754.021.957,3754021957.0,,3754021957.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.032.288.120.686,-,2.032.288.120.686,2032288120686.0,,2032288120686.0
Phải trả khác,Phải trả khác,Phải trả khác,26.058.863.629,20.356.047.079,46.414.910.708,26058863629.0,20356047079.0,46414910708.0
Cộng,Cộng,Cộng,2.425.863.306.460,20.356.047.079,2.446.219.353.539,2425863306460.0,20356047079.0,2446219353539.0
01/01/2021,01/01/2021,01/01/2021,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2021 > Phải trả người bán,Phải trả người bán,382.734.453.855,-,382.734.453.855,382734453855.0,,382734453855.0
Chi phí phải trả,01/01/2021 > Chi phí phải trả,Chi phí phải trả,3.045.149.728,-,3.045.149.728,3045149728.0,,3045149728.0
Vay và nợ thuê tài chính,01/01/2021 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.723.009.678.809,-,1.723.009.678.809,1723009678809.0,,1723009678809.0
Phải trả khác,01/01/2021 > Phải trả khác,Phải trả khác,20.524.054.019,20.464.176.088,40.988.230.107,20524054019.0,20464176088.0,40988230107.0
Cộng,01/01/2021 > Cộng,Cộng,2.129.313.336.411,20.464.176.088,2.149.777.512.499,2129313336411.0,20464176088.0,2149777512499.0
