row_label_raw,row_label_full,Báo cáo bộ phận theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,Năm 2021,Năm 2020,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,1.583.711.923.218,994.063.195.612,4.090.749.390.592,3.875.088.825.443,1.178.407.540.597,1.053.068.503.580,1.400.233.560.264,1.344.337.442.517,(917.808.022.616),(776.794.140.355),7.335.294.392.055,6.489.763.826.797,1583711923218.0,994063195612.0,4090749390592.0,3875088825443.0,1178407540597.0,1053068503580.0,1400233560264.0,1344337442517.0,-917808022616.0,-776794140355.0,7335294392055.0,6489763826797.0
Giá vốn bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.212.061.556.948,962.413.550.817,2.444.966.193.800,2.165.651.739.568,1.144.984.246.402,1.014.367.381.711,1.179.588.096.894,1.065.597.214.674,(908.365.657.762),(769.745.695.590),5.073.234.436.282,4.438.284.191.180,1212061556948.0,962413550817.0,2444966193800.0,2165651739568.0,1144984246402.0,1014367381711.0,1179588096894.0,1065597214674.0,-908365657762.0,-769745695590.0,5073234436282.0,4438284191180.0
Lợi nhuận gộp,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,371.650.366.270,31.649.644.795,1.645.783.196.792,1.709.437.085.875,33.423.294.195,38.701.121.869,220.645.463.370,278.740.227.843,(9.442.364.854),(7.048.444.765),2.262.059.955.773,2.051.479.635.617,371650366270.0,31649644795.0,1645783196792.0,1709437085875.0,33423294195.0,38701121869.0,220645463370.0,278740227843.0,-9442364854.0,-7048444765.0,2262059955773.0,2051479635617.0
Doanh thu hoạt động tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,142.915.484.776,142.064.834.469,,,,,,,,,,,142915484776.0,142064834469.0
Chi phí tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,66.281.421.486,71.847.485.893,,,,,,,,,,,66281421486.0,71847485893.0
Chi phí bán hàng,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,693.932.847.200,654.113.883.340,,,,,,,,,,,693932847200.0,654113883340.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,252.508.477.645,234.335.496.961,,,,,,,,,,,252508477645.0,234335496961.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.392.252.694.218,1.233.247.603.892,,,,,,,,,,,1392252694218.0,1233247603892.0
Thu nhập khác,Báo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,53.029.739.734,38.029.869.172,,,,,,,,,,,53029739734.0,38029869172.0
Chi phí khác,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,6.125.164.821,4.843.664.119,,,,,,,,,,,6125164821.0,4843664119.0
Lợi nhuận khác,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,46.904.574.913,33.186.205.053,,,,,,,,,,,46904574913.0,33186205053.0
Lợi nhuận trước thuế,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.439.157.269.131,1.266.433.808.945,,,,,,,,,,,1439157269131.0,1266433808945.0
Thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,185.593.090.674,213.455.852.788,,,,,,,,,,,185593090674.0,213455852788.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.253.564.178.457,1.052.977.956.157,,,,,,,,,,,1253564178457.0,1052977956157.0
