row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn > - Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,31/12/2020 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > 170.000,31/12/2020 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > (*),1/1/2020 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - > 20.000,1/1/2020 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - > (*),numeric__31/12/2020 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > 170.000,numeric__31/12/2020 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 2.355.200 > (*),numeric__1/1/2020 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - > 20.000,numeric__1/1/2020 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - > (*)
Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,,,,
- Tiền và các khoản tương đương tiền,Được phân loại là các khoản cho vay và phải thu: > - Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,2.129.879,2.129.879,837.623,837.623,2129879.0,2129879.0,837623.0,837623.0
- Phải thu khách hàng và phải thu ngắn hạn khác,Được phân loại là các khoản cho vay và phải thu: > - Phải thu khách hàng và phải thu ngắn hạn khác,- Phải thu khách hàng và phải thu ngắn hạn khác,3.528.936,3.528.936,65.545,65.545,3528936.0,3528936.0,65545.0,65545.0
- Phải thu về cho vay dài hạn và phải thu dài hạn khác,Được phân loại là các khoản cho vay và phải thu: > - Phải thu về cho vay dài hạn và phải thu dài hạn khác,- Phải thu về cho vay dài hạn và phải thu dài hạn khác,8.319.324,(*),1.151.465,(*),8319324.0,,1151465.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,,,,
- Các khoản đầu tư vào công cụ vốn chủ sở hữu,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Các khoản đầu tư vào công cụ vốn chủ sở hữu,- Các khoản đầu tư vào công cụ vốn chủ sở hữu,47.586.470,(*),47.586.470,(*),47586470.0,,47586470.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,
- Phải trả người bán và phải trả ngắn hạn khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Phải trả người bán và phải trả ngắn hạn khác,- Phải trả người bán và phải trả ngắn hạn khác,(87.836),(87.836),(62.424),(62.424),-87836.0,-87836.0,-62424.0,-62424.0
- Các khoản vay,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản vay,- Các khoản vay,(4.285.846),(*),(4.640.000),(*),-4285846.0,,-4640000.0,
,,,59.716.127,(*),44.958.679,(*),59716127.0,,44958679.0,
