row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,24.916.911.559,6.432.481.745,52.542.468.963,32.066.419.500,115.958.281.767,24916911559.0,6432481745.0,52542468963.0,32066419500.0,115958281767.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,1.679.205.454,216.181.818,1.895.387.272,,,1679205454.0,216181818.0,1895387272.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,3.068.883.132,-,-,-,3.068.883.132,3068883132.0,,,,3068883132.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.125.334.950),-,-,-,(3.125.334.950),-3125334950.0,,,,-3125334950.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.860.459.741,6.432.481.745,54.221.674.417,32.282.601.318,117.797.217.221,24860459741.0,6432481745.0,54221674417.0,32282601318.0,117797217221.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.872.456.927,4.379.254.606,29.129.164.806,21.777.495.035,60.158.371.374,4872456927.0,4379254606.0,29129164806.0,21777495035.0,60158371374.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.625.509.848,546.764.734,6.353.909.657,3.090.463.912,12.616.648.151,2625509848.0,546764734.0,6353909657.0,3090463912.0,12616648151.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(139.463.872),-,-,-,(139.463.872),-139463872.0,,,,-139463872.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.358.502.903,4.926.019.340,35.483.074.463,24.867.958.947,72.635.555.653,7358502903.0,4926019340.0,35483074463.0,24867958947.0,72635555653.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.044.454.632,2.053.227.139,23.413.304.157,10.288.924.465,55.799.910.393,20044454632.0,2053227139.0,23413304157.0,10288924465.0,55799910393.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,17.501.956.838,1.506.462.405,18.738.599.954,7.414.642.371,45.161.661.568,17501956838.0,1506462405.0,18738599954.0,7414642371.0,45161661568.0
