row_label_raw,row_label_full,col_0,31/12/2020 > Tỷ lệ %sở hữu,31/12/2020 > Tỷ lệ %quyềnbiểu quyết,31/12/2020 > Giá gốcVND,31/12/2020 > Giá trịhợp lýVND,1/1/2020 > Tỷ lệ %sở hữu,1/1/2020 > Tỷ lệ %quyềnbiểu quyết,1/1/2020 > Giá gốcVND,1/1/2020 > Giá trịhợp lýVND,numeric__31/12/2020 > Tỷ lệ %sở hữu,numeric__31/12/2020 > Tỷ lệ %quyềnbiểu quyết,numeric__31/12/2020 > Giá gốcVND,numeric__31/12/2020 > Giá trịhợp lýVND,numeric__1/1/2020 > Tỷ lệ %sở hữu,numeric__1/1/2020 > Tỷ lệ %quyềnbiểu quyết,numeric__1/1/2020 > Giá gốcVND,numeric__1/1/2020 > Giá trịhợp lýVND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,
▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,▪ Công ty con,,,,,,,,
- Công ty CP Đầu tư Khoáng sản An Thông,▪ Công ty con > - Công ty CP Đầu tư Khoáng sản An Thông,- Công ty CP Đầu tư Khoáng sản An Thông,"99,96%","99,96%",845.030.800.000,,"99,96%","99,96%",845.030.800.000,,0.9995999999999999,0.9995999999999999,845030800000.0,,0.9995999999999999,0.9995999999999999,845030800000.0,
- Công ty CP Thép Hòa Phát Hải Dương,▪ Công ty con > - Công ty CP Thép Hòa Phát Hải Dương,- Công ty CP Thép Hòa Phát Hải Dương,"99,99%","99,99%",7.095.864.000.000,,"99,99%","99,99%",7.095.864.000.000,,0.9998999999999999,0.9998999999999999,7095864000000.0,,0.9998999999999999,0.9998999999999999,7095864000000.0,
- Công ty CP Thép Hòa Phát Dung Quất,▪ Công ty con > - Công ty CP Thép Hòa Phát Dung Quất,- Công ty CP Thép Hòa Phát Dung Quất,"99,33%","99,33%",29.800.000.000.000,,"99,33%","99,33%",29.800.000.000.000,,0.9933,0.9933,29800000000000.0,,0.9933,0.9933,29800000000000.0,
- Công ty TNHH Thép Hòa Phát Hưng Yên,▪ Công ty con > - Công ty TNHH Thép Hòa Phát Hưng Yên,- Công ty TNHH Thép Hòa Phát Hưng Yên,"100,00%","100,00%",1.000.000.000.000,,"100,00%","100,00%",1.000.000.000.000,,1.0,1.0,1000000000000.0,,1.0,1.0,1000000000000.0,
- Công ty TNHH Ông thép Hòa Phát,▪ Công ty con > - Công ty TNHH Ông thép Hòa Phát,- Công ty TNHH Ông thép Hòa Phát,"99,97%","99,97%",1.499.500.000.000,,"99,97%","99,97%",1.499.500.000.000,,0.9997,0.9997,1499500000000.0,,0.9997,0.9997,1499500000000.0,
- Công ty TNHH Tôn Hòa Phát,▪ Công ty con > - Công ty TNHH Tôn Hòa Phát,- Công ty TNHH Tôn Hòa Phát,"100,00%","100,00%",2.000.000.000.000,,"100,00%","100,00%",2.000.000.000.000,,1.0,1.0,2000000000000.0,,1.0,1.0,2000000000000.0,
- Công ty TNHH Chế tạo Kim loại Hòa Phát,▪ Công ty con > - Công ty TNHH Chế tạo Kim loại Hòa Phát,- Công ty TNHH Chế tạo Kim loại Hòa Phát,"99,88%","99,88%",399.500.000.000,,"99,88%","99,88%",399.500.000.000,,0.9987999999999999,0.9987999999999999,399500000000.0,,0.9987999999999999,0.9987999999999999,399500000000.0,
- Công ty CP Nội thất Hòa Phát,▪ Công ty con > - Công ty CP Nội thất Hòa Phát,- Công ty CP Nội thất Hòa Phát,"99,60%","99,60%",398.400.000.000,,"99,60%","99,60%",398.400.000.000,,0.996,0.996,398400000000.0,,0.996,0.996,398400000000.0,
