row_label_raw,row_label_full,col_0,2020VND,2019VND,numeric__2020VND,numeric__2019VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,,
▪ Bán hàng,Tổng doanh thu > ▪ Bán hàng,▪ Bán hàng,2.535.978.949.680,164.170.328.714,2535978949680.0,164170328714.0
▪ Cung cấp dịch vụ,Tổng doanh thu > ▪ Cung cấp dịch vụ,▪ Cung cấp dịch vụ,123.132.304.821,140.795.692.507,123132304821.0,140795692507.0
▪ Bất động sản đầu tư cho thuê,Tổng doanh thu > ▪ Bất động sản đầu tư cho thuê,▪ Bất động sản đầu tư cho thuê,30.281.440.000,27.750.120.000,30281440000.0,27750120000.0
,,,2.689.392.694.501,332.716.141.221,2689392694501.0,332716141221.0
Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,Trừ đi các khoản giảm trừ doanh thu,,
▪ Chiết khấu thương mại,Trừ đi các khoản giảm trừ doanh thu > ▪ Chiết khấu thương mại,▪ Chiết khấu thương mại,(32.504.695.020),-,-32504695020.0,
▪ Hàng bán bị trả lại,Trừ đi các khoản giảm trừ doanh thu > ▪ Hàng bán bị trả lại,▪ Hàng bán bị trả lại,(1.660.736.980),-,-1660736980.0,
,,,(34.165.432.000),-,-34165432000.0,
Doanh thu thuần,Trừ đi các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,2.655.227.262.501,332.716.141.221,2655227262501.0,332716141221.0
