row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2020VND,1/1/2020VND,,
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Điện Lạnh Hòa Phát,Công ty con > Công ty TNHH Điện Lạnh Hòa Phát,Công ty TNHH Điện Lạnh Hòa Phát,54.800.001,-,54800001.0,
Công ty TNHH Harmonia,Công ty con > Công ty TNHH Harmonia,Công ty TNHH Harmonia,-,91.900.000,,91900000.0
Các bên liên quan khác,Công ty con > Các bên liên quan khác,Các bên liên quan khác,9.430.001,5.850.000,9430001.0,5850000.0
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,
Công ty TNHH Bắt động sản và Dịch vụ Dương Nguyễn,Bên khác > Công ty TNHH Bắt động sản và Dịch vụ Dương Nguyễn,Công ty TNHH Bắt động sản và Dịch vụ Dương Nguyễn,12.538.800.000,-,12538800000.0,
Công ty CP Thương mại In Nhật Nam,Bên khác > Công ty CP Thương mại In Nhật Nam,Công ty CP Thương mại In Nhật Nam,2.990.284.770,-,2990284770.0,
Công ty CP Đầu tư và Thương mại Táo Đỏ,Bên khác > Công ty CP Đầu tư và Thương mại Táo Đỏ,Công ty CP Đầu tư và Thương mại Táo Đỏ,806.202.474,-,806202474.0,
Công ty CP Quảng cáo Thương mại Sen Vàng,Bên khác > Công ty CP Quảng cáo Thương mại Sen Vàng,Công ty CP Quảng cáo Thương mại Sen Vàng,-,1.409.762.191,,1409762191.0
Các nhà cung cấp khác,Bên khác > Các nhà cung cấp khác,Các nhà cung cấp khác,5.156.546.116,4.625.326.071,5156546116.0,4625326071.0
,,,21.556.063.362,6.132.838.262,21556063362.0,6132838262.0
