row_label_raw,row_label_full,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảng cân đối kế toán riêng_2,Bảng cân đối kế toán riêng_3,Bảng cân đối kế toán riêng_4,Bảng cân đối kế toán riêng_5,Bảng cân đối kế toán riêng_6,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảng cân đối kế toán riêng_2,numeric__Bảng cân đối kế toán riêng_3,numeric__Bảng cân đối kế toán riêng_4,numeric__Bảng cân đối kế toán riêng_5,numeric__Bảng cân đối kế toán riêng_6
,,,"Kinh doanh, cho thuê, quản lý vận hành bất động sản và xây dựng","Sản xuất và kinh doanh kinh, gương","Sản xuất và kinh doanh sư, sen vòi",Thương mại và dịch vụ khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,15.168.186.745.909,1.034.802.589.249,971.829.296.715,23.642.348.804,(5.514.923.284.155),11.683.537.696.522,15168186745909.0,1034802589249.0,971829296715.0,23642348804.0,-5514923284155.0,11683537696522.0
Tài sản không phân bố,Tài sản không phân bố,Tài sản không phân bố,,,,,,2.452.243.908.958,,,,,,2452243908958.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,15.168.186.745.909,1.034.802.589.249,971.829.296.715,23.642.348.804,(5.514.923.284.155),14.135.781.605.480,15168186745909.0,1034802589249.0,971829296715.0,23642348804.0,-5514923284155.0,14135781605480.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(10.903.109.745.224),(927.435.330.479),(946.425.378.005),(21.007.968.357),5.496.600.574.342,(7.301.377.847.723),-10903109745224.0,-927435330479.0,-946425378005.0,-21007968357.0,5496600574342.0,-7301377847723.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,(10.903.109.745.224),(927.435.330.479),(946.425.378.005),(21.007.968.357),5.496.600.574.342,(7.301.377.847.723),-10903109745224.0,-927435330479.0,-946425378005.0,-21007968357.0,5496600574342.0,-7301377847723.0
Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,,,,,,
,,,"Kinh doanh, cho thuê, quản lý vận hành bất động sản và xây dựng","Sản xuất và kinh doanh kinh, gương","Sản xuất và kinh doanh sư, sen vòi",Thương mại và dịch vụ khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.323.114.623.028,1.265.481.707.404,678.597.529.528,38.103.899.314,-,6.305.297.759.274,4323114623028.0,1265481707404.0,678597529528.0,38103899314.0,,6305297759274.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,1.018.169.962.968,26.902.982.092,23.546.172.518,165.119.114.967,,,1018169962968.0,26902982092.0,23546172518.0,165119114967.0,,
Tổng doanh thu,Báo cáo kết quả kinh doanh riêng > Tổng doanh thu,Tổng doanh thu,5.341.284.585.996,1.292.384.689.496,702.143.702.046,203.223.014.281,(1.233.738.232.545),-,5341284585996.0,1292384689496.0,702143702046.0,203223014281.0,-1233738232545.0,
Chi phí hoạt động kinh doanh,Báo cáo kết quả kinh doanh riêng > Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,3.524.634.266.658,953.338.611.547,579.168.337.782,41.864.363.374,(1.048.915.938.872),6.305.297.759.274,3524634266658.0,953338611547.0,579168337782.0,41864363374.0,-1048915938872.0,6305297759274.0
Kết quả hoạt động kinh doanh bộ phận,Báo cáo kết quả kinh doanh riêng > Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,1.816.650.319.338,339.046.077.949,122.975.364.264,161.358.650.907,(184.822.293.673),2.255.208.118.785,1816650319338.0,339046077949.0,122975364264.0,161358650907.0,-184822293673.0,2255208118785.0
Chi phí không phân bố,Báo cáo kết quả kinh doanh riêng > Chi phí không phân bố,Chi phí không phân bố,,,,,,704.880.264.724,,,,,,704880264724.0
Lợi nhuận từ hoạt động kinh doanh,Báo cáo kết quả kinh doanh riêng > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,1.550.327.854.061,,,,,,1550327854061.0
Thu nhập khác,Báo cáo kết quả kinh doanh riêng > Thu nhập khác,Thu nhập khác,,,,,,48.468.144.076,,,,,,48468144076.0
Kết quả từ hoạt động tài chính,Báo cáo kết quả kinh doanh riêng > Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,111.102.129.303,,,,,,111102129303.0
Lợi nhuận trước thuế,Báo cáo kết quả kinh doanh riêng > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,1.709.898.127.440,,,,,,1709898127440.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Báo cáo kết quả kinh doanh riêng > Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,311.894.951.424,,,,,,311894951424.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả kinh doanh riêng > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,1.398.003.176.016,,,,,,1398003176016.0
