row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III.,III.,III.,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,106.458.371.179,68.067.281.287,,33.0,106458371179.0,68067281287.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(156.508.544.928),(161.475.128.907),,34.0,-156508544928.0,-161475128907.0
3.,III. > 3.,3.,Tiền trả nợ gốc thuê tài chính,35,(2.408.929.000),(1.679.768.680),,35.0,-2408929000.0,-1679768680.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.120.469.155.750),(492.857.018.185),,36.0,-1120469155750.0,-492857018185.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.172.928.258.499),(587.944.634.485),,40.0,-1172928258499.0,-587944634485.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(1.047.649.499.062),700.563.985.522,,50.0,-1047649499062.0,700563985522.0
,,,Tiền và tương đương tiền đầu năm,60,2.019.751.201.364,1.320.550.312.115,,60.0,2019751201364.0,1320550312115.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đối ngoại tệ,61,(781.906.239),(1.363.096.273),,61.0,-781906239.0,-1363096273.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,971.319.796.063,2.019.751.201.364,,70.0,971319796063.0,2019751201364.0
