row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Phân loại lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Phân loại lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,7.301.377.847.723,8.007.099.709.737,,300.0,,7301377847723.0,8007099709737.0
I.,I.,I.,Nợ ngắn hạn,310,,3.653.260.813.635,4.501.915.776.409,,310.0,,3653260813635.0,4501915776409.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,600.156.360.691,531.893.894.792,,311.0,18.0,600156360691.0,531893894792.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,1.326.227.807.498,2.310.308.378.431,,312.0,19.0,1326227807498.0,2310308378431.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,77.437.326.711,143.804.685.958,,313.0,20.0,77437326711.0,143804685958.0
4.,4.,4.,Phải trả người lao động,314,,177.064.493.486,117.517.008.607,,314.0,,177064493486.0,117517008607.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,21,945.114.868.813,671.408.233.991,,315.0,21.0,945114868813.0,671408233991.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,22,35.513.521.553,57.282.353.786,,318.0,22.0,35513521553.0,57282353786.0
7.,7.,7.,Phải trả ngắn hạn khác,319,23,284.697.873.498,495.854.572.360,,319.0,23.0,284697873498.0,495854572360.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,98.887.876.116,103.149.235.177,,320.0,24.0,98887876116.0,103149235177.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,26,12.471.763.634,5.391.095.680,,321.0,26.0,12471763634.0,5391095680.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,27,95.688.921.635,65.306.317.627,,322.0,27.0,95688921635.0,65306317627.0
II.,II.,II.,Nợ dài hạn,330,,3.648.117.034.088,3.505.183.933.328,,330.0,,3648117034088.0,3505183933328.0
1.,1.,1.,Chi phí phải trả dài hạn,333,21,188.387.114.899,152.320.123.747,,333.0,21.0,188387114899.0,152320123747.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,22,2.703.976.927.078,2.722.979.661.636,,336.0,22.0,2703976927078.0,2722979661636.0
3.,3.,3.,Phải trả dài hạn khác,337,23,18.862.849.122,21.276.086.607,,337.0,23.0,18862849122.0,21276086607.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,25,15.422.754.559,63.620.498.247,,338.0,25.0,15422754559.0,63620498247.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,26,401.474.694.017,329.867.193.182,,342.0,26.0,401474694017.0,329867193182.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,28,319.992.694.413,215.120.369.909,,343.0,28.0,319992694413.0,215120369909.0
