row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.212.247.586,134.258.872.049,653.918.379.024,6.202.889.498.659,4483500000000.0,931212247586.0,134258872049.0,653918379024.0,6202889498659.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,933.196.183.322,933.196.183.322,,,,933196183322.0,933196183322.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,41.988.082.974,(41.988.082.974),-,,,41988082974.0,-41988082974.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,-,-,-,(44.427.550.000),(44.427.550.000),,,,-44427550000.0,-44427550000.0
Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(292.906.744),(292.906.744),,,,-292906744.0,-292906744.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,(493.185.000.000),(493.185.000.000),,,,-493185000000.0,-493185000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.483.500.000.000,931.212.247.586,176.246.955.023,1.007.221.022.628,6.598.180.225.237,4483500000000.0,931212247586.0,176246955023.0,1007221022628.0,6598180225237.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.398.003.176.016,1.398.003.176.016,,,,1398003176016.0,1398003176016.0
Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),-,-,252.946.541.604,(252.946.541.604),-,,,252946541604.0,-252946541604.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),-,-,-,(81.749.481.024),(81.749.481.024),,,,-81749481024.0,-81749481024.0
Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),-,-,-,(1.120.875.000.000),(1.120.875.000.000),,,,-1120875000000.0,-1120875000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.212.247.586,429.193.496.627,949.653.176.016,6.793.558.920.229,4483500000000.0,931212247586.0,429193496627.0,949653176016.0,6793558920229.0
