row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Phân loại lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Phân loại lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Chi phí các dự án, công trình xây dựng","a. Ngắn hạn > Chi phí các dự án, công trình xây dựng","Chi phí các dự án, công trình xây dựng",908.195.268.963,642.264.547.933,908195268963.0,642264547933.0
"Chi phí dịch vụ đào tạo, tư vấn","a. Ngắn hạn > Chi phí dịch vụ đào tạo, tư vấn","Chi phí dịch vụ đào tạo, tư vấn",5.202.677.840,5.202.677.840,5202677840.0,5202677840.0
Tiền thuê đất tại các khu công nghiệp,a. Ngắn hạn > Tiền thuê đất tại các khu công nghiệp,Tiền thuê đất tại các khu công nghiệp,4.440.975.752,4.039.987.288,4440975752.0,4039987288.0
Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,a. Ngắn hạn > Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,432.115.362,5.133.078.032,432115362.0,5133078032.0
Chi phí lãi vay phải trả,a. Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,802.337.550,783.910.146,802337550.0,783910146.0
Chi phí phải trả khác,a. Ngắn hạn > Chi phí phải trả khác,Chi phí phải trả khác,26.041.493.346,13.984.032.752,26041493346.0,13984032752.0
,,,945.114.868.813,671.408.233.991,945114868813.0,671408233991.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Chi phí các dự án, công trình xây dựng","b. Dài hạn > Chi phí các dự án, công trình xây dựng","Chi phí các dự án, công trình xây dựng",188.387.114.899,152.320.123.747,188387114899.0,152320123747.0
,,,188.387.114.899,152.320.123.747,188387114899.0,152320123747.0
