row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,3.041.081.073.820,2.621.749.848.948,3041081073820.0,2621749848948.0
Doanh thu bán bắt động sản,Doanh thu bán bắt động sản,Doanh thu bán bắt động sản,1.065.190.064.172,874.289.244.292,1065190064172.0,874289244292.0
"Doanh thu bán các sản phẩm kính, gưỡng","Doanh thu bán các sản phẩm kính, gưỡng","Doanh thu bán các sản phẩm kính, gưỡng",1.266.673.803.698,1.059.759.989.375,1266673803698.0,1059759989375.0
"Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện","Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện","Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện",678.597.529.528,680.608.087.402,678597529528.0,680608087402.0
"Doanh thu bán các sản phẩm gạch, ngói đất sét nung","Doanh thu bán các sản phẩm gạch, ngói đất sét nung","Doanh thu bán các sản phẩm gạch, ngói đất sét nung",-,7.092.527.879,,7092527879.0
Doanh thu bán hàng khác,Doanh thu bán hàng khác,Doanh thu bán hàng khác,30.619.676.422,-,30619676422.0,
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,3.265.408.781.748,2.938.633.115.670,3265408781748.0,2938633115670.0
Doanh thu cho thuê đất đã phát triển cơ sở hạ tầng,Doanh thu cho thuê đất đã phát triển cơ sở hạ tầng,Doanh thu cho thuê đất đã phát triển cơ sở hạ tầng,2.805.200.326.595,2.510.676.250.440,2805200326595.0,2510676250440.0
"Doanh thu phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư (i)","Doanh thu phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư (i)","Doanh thu phí dịch vụ quản lý và vận hành khu công nghiệp, khu đô thị, chung cư (i)",452.724.232.261,406.371.537.833,452724232261.0,406371537833.0
Doanh thu phí duy trì và phát triển thương hiệu,Doanh thu phí duy trì và phát triển thương hiệu,Doanh thu phí duy trì và phát triển thương hiệu,739.025.000,4.619.741.000,739025000.0,4619741000.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,6.745.197.892,16.965.586.397,6745197892.0,16965586397.0
,,,6.306.489.855.568,5.560.382.964.618,6306489855568.0,5560382964618.0
Trong đó: Doanh thu từ các bên liên quan(Chi tiết tại Thuyết minh số 41),Trong đó: Doanh thu từ các bên liên quan(Chi tiết tại Thuyết minh số 41),Trong đó: Doanh thu từ các bên liên quan(Chi tiết tại Thuyết minh số 41),661.589.160.049,618.242.496.948,661589160049.0,618242496948.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,,,
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,1.192.096.294,1.226.129.371,1192096294.0,1226129371.0
,,,1.192.096.294,1.226.129.371,1192096294.0,1226129371.0
