row_label_raw,row_label_full,Ông Trần Mạnh Hửu,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Thành viên,
Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Bà Nguyễn Thị Thẩm,Thành viên (bố nhiệm ngày 26 tháng 4 năm 2022),
Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Thành viên (miễn nhiệm ngày 26 tháng 4 năm 2022),
