row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VNDGiá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > VNDGiá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VNDGiá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VNDGiá trị hợp lý
b. Đầu tư vào công ty con,b. Đầu tư vào công ty con,b. Đầu tư vào công ty con,2.396.078.636.436,(389.447.202.204),,2.202.311.778.931,(361.683.133.316),,2396078636436.0,-389447202204.0,,2202311778931.0,-361683133316.0,
Công ty Cổ phần Kính Đáp Cầu (ii),Công ty Cổ phần Kính Đáp Cầu (ii),Công ty Cổ phần Kính Đáp Cầu (ii),280.645.000.000,(280.645.000.000),129.612.500.000,280.645.000.000,(255.265.166.107),202.195.500.000,280645000000.0,-280645000000.0,129612500000.0,280645000000.0,-255265166107.0,202195500000.0
Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),Công ty TNHH Kính nổi siêu trắng Phú Mỹ (i),660.100.000.000,-,,660.100.000.000,-,,660100000000.0,,,660100000000.0,,
Công ty Cổ phần Viglacera Vân Hải (i),Công ty Cổ phần Viglacera Vân Hải (i),Công ty Cổ phần Viglacera Vân Hải (i),281.981.631.563,-,,281.981.631.563,-,,281981631563.0,,,281981631563.0,,
Công ty Cổ phần Khoáng sản Viglacera (ii),Công ty Cổ phần Khoáng sản Viglacera (ii),Công ty Cổ phần Khoáng sản Viglacera (ii),7.447.460.436,-,15.937.500.000,7.447.460.436,-,14.088.750.000,7447460436.0,,15937500000.0,7447460436.0,,14088750000.0
Công ty Cổ phần Việt Trì Viglacera (i),Công ty Cổ phần Việt Trì Viglacera (i),Công ty Cổ phần Việt Trì Viglacera (i),29.999.243.861,-,,29.999.243.861,-,,29999243861.0,,,29999243861.0,,
Công ty Cổ phần Sử Viglacera Thanh Trì (ii),Công ty Cổ phần Sử Viglacera Thanh Trì (ii),Công ty Cổ phần Sử Viglacera Thanh Trì (ii),39.898.908.925,-,48.355.328.000,39.898.908.925,-,47.222.000.000,39898908925.0,,48355328000.0,39898908925.0,,47222000000.0
Công ty Cổ phần Thương mại Viglacera (i),Công ty Cổ phần Thương mại Viglacera (i),Công ty Cổ phần Thương mại Viglacera (i),22.171.173.381,(14.583.575.640),,22.171.173.381,(12.791.233.731),,22171173381.0,-14583575640.0,,22171173381.0,-12791233731.0,
Công ty Cổ phần Viglacera Thăng Long (ii),Công ty Cổ phần Viglacera Thăng Long (ii),Công ty Cổ phần Viglacera Thăng Long (ii),21.420.000.000,-,74.970.000.000,21.420.000.000,-,52.479.000.000,21420000000.0,,74970000000.0,21420000000.0,,52479000000.0
Công ty Cổ phần Viglacera Tiên Sơn (iii),Công ty Cổ phần Viglacera Tiên Sơn (iii),Công ty Cổ phần Viglacera Tiên Sơn (iii),245.248.800.000,-,484.500.000.000,245.248.800.000,-,632.400.000.000,245248800000.0,,484500000000.0,245248800000.0,,632400000000.0
Công ty Cổ phần Viglacera Hà Nội (ii),Công ty Cổ phần Viglacera Hà Nội (ii),Công ty Cổ phần Viglacera Hà Nội (ii),28.560.000.000,-,39.412.800.000,28.560.000.000,-,39.984.000.000,28560000000.0,,39412800000.0,28560000000.0,,39984000000.0
Công ty Cổ phần Bê tông khí Viglacera (i),Công ty Cổ phần Bê tông khí Viglacera (i),Công ty Cổ phần Bê tông khí Viglacera (i),62.200.000.000,(62.200.000.000),,62.200.000.000,(62.200.000.000),,62200000000.0,-62200000000.0,,62200000000.0,-62200000000.0,
Công ty Cổ phần Bao bì và Má phanhViglacera (i),Công ty Cổ phần Bao bì và Má phanhViglacera (i),Công ty Cổ phần Bao bì và Má phanhViglacera (i),6.553.719.948,-,,6.553.719.948,-,,6553719948.0,,,6553719948.0,,
Công ty Cổ phần Viglacera Hạ Long (iii),Công ty Cổ phần Viglacera Hạ Long (iii),Công ty Cổ phần Viglacera Hạ Long (iii),226.136.894.000,-,283.933.125.000,226.136.894.000,-,340.719.750.000,226136894000.0,,283933125000.0,226136894000.0,,340719750000.0
Công ty Cổ phần Từ Liêm (i),Công ty Cổ phần Từ Liêm (i),Công ty Cổ phần Từ Liêm (i),22.876.640.252,(22.876.640.252),,22.876.640.252,(22.876.640.252),,22876640252.0,-22876640252.0,,22876640252.0,-22876640252.0,
Công ty Cổ phần 382 Đông Anh (ii),Công ty Cổ phần 382 Đông Anh (ii),Công ty Cổ phần 382 Đông Anh (ii),3.895.380.000,(3.895.380.000),4.305.420.000,3.895.380.000,(3.303.486.914),3.280.320.000,3895380000.0,-3895380000.0,4305420000.0,3895380000.0,-3303486914.0,3280320000.0
Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),Công ty Cổ phần Gốm Xây dựng Hữu Hưng (i),5.246.606.313,(5.246.606.312),,5.246.606.313,(5.246.606.312),,5246606313.0,-5246606312.0,,5246606313.0,-5246606312.0,
Công ty Cổ phần Tư vấn Viglacera (i),Công ty Cổ phần Tư vấn Viglacera (i),Công ty Cổ phần Tư vấn Viglacera (i),2.823.344.712,-,,2.823.344.712,-,,2823344712.0,,,2823344712.0,,
