row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,"Bản quyền, bằng sáng chếVND",Phần mềm máy tínhVND,"Chi phí đèn bù, san lắp mặt bằngVND",KhácVND,TổngVND,numeric__Quyền sử dụng đấtVND,"numeric__Bản quyền, bằng sáng chếVND",numeric__Phần mềm máy tínhVND,"numeric__Chi phí đèn bù, san lắp mặt bằngVND",numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.305.486.937,3.173.288.914,93.259.704.164,-,168.284.167.812,68545687797.0,3305486937.0,3173288914.0,93259704164.0,,168284167812.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,99.000.000,-,-,99.000.000,,,99000000.0,,,99000000.0
Tăng do quyết toán,NGUYÊN GIÁ > Tăng do quyết toán,Tăng do quyết toán,-,-,-,-,8.674.997.834,8.674.997.834,,,,,8674997834.0,8674997834.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.305.486.937,3.272.288.914,93.259.704.164,8.674.997.834,177.058.165.646,68545687797.0,3305486937.0,3272288914.0,93259704164.0,8674997834.0,177058165646.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,9.062.562.375,639.960.413,3.041.089.766,18.369.705.859,-,31.113.318.413,9062562375.0,639960413.0,3041089766.0,18369705859.0,,31113318413.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,515.531.976,275.457.252,117.009.590,2.186.773.796,1.445.832.960,4.540.605.574,515531976.0,275457252.0,117009590.0,2186773796.0,1445832960.0,4540605574.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,9.578.094.351,915.417.665,3.158.099.356,20.556.479.655,1.445.832.960,35.653.923.987,9578094351.0,915417665.0,3158099356.0,20556479655.0,1445832960.0,35653923987.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,59.483.125.422,2.665.526.524,132.199.148,74.889.998.305,-,137.170.849.399,59483125422.0,2665526524.0,132199148.0,74889998305.0,,137170849399.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,58.967.593.446,2.390.069.272,114.189.558,72.703.224.509,7.229.164.874,141.404.241.659,58967593446.0,2390069272.0,114189558.0,72703224509.0,7229164874.0,141404241659.0
