row_label_raw,row_label_full,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảng cân đối kế toán riêng_2,Bảng cân đối kế toán riêng_3,Bảng cân đối kế toán riêng_4,Bảng cân đối kế toán riêng_5,Bảng cân đối kế toán riêng_6,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảng cân đối kế toán riêng_2,numeric__Bảng cân đối kế toán riêng_3,numeric__Bảng cân đối kế toán riêng_4,numeric__Bảng cân đối kế toán riêng_5,numeric__Bảng cân đối kế toán riêng_6
,,,"Kinh doanh, cho thuê,quản lý vận hành bất độngsản và xây dựng","Sản xuất và kinhdoanh kính, gưỡng","Sản xuất và kinhdoanh sứ, sen vòi",Thương mại và dịch vụkhác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,17.058.780.283.335,1.021.634.376.304,976.058.140.673,26.581.844.010,(6.209.083.575.102),12.873.971.069.220,17058780283335.0,1021634376304.0,976058140673.0,26581844010.0,-6209083575102.0,12873971069220.0
Tài sản không phân bố,Tài sản không phân bố,Tài sản không phân bố,,,,,,1.775.188.820.582,,,,,,1775188820582.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,17.058.780.283.335,1.021.634.376.304,976.058.140.673,26.581.844.010,(6.209.083.575.102),14.649.159.889.802,17058780283335.0,1021634376304.0,976058140673.0,26581844010.0,-6209083575102.0,14649159889802.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(12.306.558.089.286),(914.267.117.534),(950.654.221.963),(23.829.029.779),6.188.208.748.825,(8.007.099.709.737),-12306558089286.0,-914267117534.0,-950654221963.0,-23829029779.0,6188208748825.0,-8007099709737.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,(12.306.558.089.286),(914.267.117.534),(950.654.221.963),(23.829.029.779),6.188.208.748.825,(8.007.099.709.737),-12306558089286.0,-914267117534.0,-950654221963.0,-23829029779.0,6188208748825.0,-8007099709737.0
Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,,,,,,
,,,"Kinh doanh, cho thuê,quản lý vận hành bất độngsản và xây dựng","Sản xuất và kinhdoanh kính, gưỡng","Sản xuất và kinhdoanh sứ, sen vòi",Thương mại và dịch vụkhác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Doanh thu thuần từ bán hàng ra bênngoài,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng ra bênngoài,Doanh thu thuần từ bán hàng ra bênngoài,3.791.337.032.565,1.059.533.860.004,679.608.087.402,28.677.855.276,-,5.559.156.835.247,3791337032565.0,1059533860004.0,679608087402.0,28677855276.0,,5559156835247.0
Doanh thu thuần từ bán hàng cho cắc bộ phận khác,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng cho cắc bộ phận khác,Doanh thu thuần từ bán hàng cho cắc bộ phận khác,1.078.314.693.234,19.547.535.750,58.250.372.592,133.385.754.892,(1.289.498.356.468),-,1078314693234.0,19547535750.0,58250372592.0,133385754892.0,-1289498356468.0,
