row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,6.306.489.855.568,5.560.382.964.618,,1.0,33.0,6306489855568.0,5560382964618.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,33,1.192.096.294,1.226.129.371,,2.0,33.0,1192096294.0,1226129371.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,6.305.297.759.274,5.559.156.835.247,,10.0,,6305297759274.0,5559156835247.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,34,4.050.089.640.489,3.853.698.457.512,,11.0,34.0,4050089640489.0,3853698457512.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.255.208.118.785,1.705.458.377.735,,20.0,,2255208118785.0,1705458377735.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,185.666.673.793,82.783.634.372,,21.0,36.0,185666673793.0,82783634372.0
7.,7.,7.,Chi phí tài chính,22,37,74.564.544.490,80.044.733.867,,22.0,37.0,74564544490.0,80044733867.0
,,,- Trong đó: Chi phí lãi vay,23,,10.638.356.367,15.351.999.211,,23.0,,10638356367.0,15351999211.0
8.,8.,8.,Chi phí bán hàng,25,38,211.756.014.066,150.154.315.273,,25.0,38.0,211756014066.0,150154315273.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,38,493.124.250.658,422.564.545.000,,26.0,38.0,493124250658.0,422564545000.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.661.429.983.364,1.135.478.417.967,,30.0,,1661429983364.0,1135478417967.0
11.,11.,11.,Thu nhập khác,31,,65.259.996.016,36.763.394.276,,31.0,,65259996016.0,36763394276.0
12.,12.,12.,Chi phí khác,32,,16.791.851.940,23.298.374.802,,32.0,,16791851940.0,23298374802.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,48.468.144.076,13.465.019.474,,40.0,,48468144076.0,13465019474.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.709.898.127.440,1.148.943.437.441,,50.0,,1709898127440.0,1148943437441.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,39,314.011.179.543,218.324.922.116,,51.0,39.0,314011179543.0,218324922116.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,17,(2.116.228.119),(2.577.667.997),,52.0,17.0,-2116228119.0,-2577667997.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.398.003.176.016,933.196.183.322,,60.0,,1398003176016.0,933196183322.0
