row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",KhácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.150.782.367.958,1.764.514.714.817,90.102.486.140,14.376.365.050,4.514.137.041,4.024.290.071.006,2150782367958.0,1764514714817.0,90102486140.0,14376365050.0,4514137041.0,4024290071006.0
Mua sắm trong năm,NGUYÊN GIÁ > Mua sắm trong năm,Mua sắm trong năm,2.811.765.742,701.725.000,2.884.077.307,263.085.818,-,6.660.653.867,2811765742.0,701725000.0,2884077307.0,263085818.0,,6660653867.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,30.069.118.582,19.391.842.751,-,-,-,49.460.961.333,30069118582.0,19391842751.0,,,,49460961333.0
(Giảm)/Tăng do quyết toán,NGUYÊN GIÁ > (Giảm)/Tăng do quyết toán,(Giảm)/Tăng do quyết toán,(390.001.675),(6.966.261.844),166.063,-,-,(7.356.097.456),-390001675.0,-6966261844.0,166063.0,,,-7356097456.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,-,1.919.774.546,-,-,1.919.774.546,,,1919774546.0,,,1919774546.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(11.130.274.544),16.935.369.483,(7.982.650.033),2.177.555.094,-,-,-11130274544.0,16935369483.0,-7982650033.0,2177555094.0,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(889.402.680),(2.010.981.202),-,-,(2.900.383.882),,-889402680.0,-2010981202.0,,,-2900383882.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.172.142.976.063,1.793.687.987.527,84.912.872.821,16.817.005.962,4.514.137.041,4.072.074.979.414,2172142976063.0,1793687987527.0,84912872821.0,16817005962.0,4514137041.0,4072074979414.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
