row_label_raw,row_label_full,1.,Lợi nhuận trước thuế,01,1.709.898.127.440,1.148.943.437.441,numeric__Lợi nhuận trước thuế,numeric__01,numeric__1.709.898.127.440,numeric__1.148.943.437.441
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định và bắt động sản đầu tư,02,1.757.548.529.905,1.772.170.237.350,,2.0,1757548529905.0,1772170237350.0
,,,Các khoản dự phòng,03,146.228.667.095,142.057.652.615,,3.0,146228667095.0,142057652615.0
,,,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,564.686.274,1.482.651.231,,4.0,564686274.0,1482651231.0
,,,(Lãi) từ hoạt động đầu tư,05,(180.884.307.146),(80.154.230.880),,5.0,-180884307146.0,-80154230880.0
,,,Chỉ phí lãi vay,06,10.638.356.367,15.351.999.211,,6.0,10638356367.0,15351999211.0
,,,Các khoản điều chỉnh khác,07,118.500.000.000,100.000.000.000,,7.0,118500000000.0,100000000000.0
