row_label_raw,row_label_full,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,3.562.494.059.935,3.099.851.746.968,numeric__08,numeric__3.562.494.059.935,numeric__3.099.851.746.968
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(114.227.772.428),(25.880.124.737),9.0,-114227772428.0,-25880124737.0
Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,122.810.742.860,187.232.136.359,10.0,122810742860.0,187232136359.0
"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(1.148.019.809.224),1.016.951.783.493,11.0,-1148019809224.0,1016951783493.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,49.233.872.211,(10.563.182.690),12.0,49233872211.0,-10563182690.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(10.619.928.963),(15.615.372.877),14.0,-10619928963.0,-15615372877.0
Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(322.483.617.714),(257.080.572.935),15.0,-322483617714.0,-257080572935.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(72.181.081.086),(74.566.904.799),17.0,-72181081086.0,-74566904799.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.067.006.465.591,3.920.329.508.782,20.0,2067006465591.0,3920329508782.0
