row_label_raw,row_label_full,Đầu tư vào đơn vị khác:,Tại ngày 31/12/2020VND > Giá gốc > Đầu tư vào đơn vị khác:,Tại ngày 31/12/2020VND > Giá trị hợp lý > Đầu tư vào đơn vị khác:,Tại ngày 31/12/2020VND > Dự phòng > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2020VND > Giá gốc > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2020VND > Giá trị hợp lý > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2020VND > Dự phòng > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Giá gốc > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Giá trị hợp lý > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2020VND > Dự phòng > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Giá gốc > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Giá trị hợp lý > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2020VND > Dự phòng > Đầu tư vào đơn vị khác:
Công ty Cổ phần Đầu tưXây dựng Cầu Đồng Nai,Công ty Cổ phần Đầu tưXây dựng Cầu Đồng Nai,Công ty Cổ phần Đầu tưXây dựng Cầu Đồng Nai,72.516.189.000,(*),-,72.516.189.000,(*),-,72516189000.0,,,72516189000.0,,
Công ty Cổ phần Amata,Công ty Cổ phần Amata,Công ty Cổ phần Amata,47.180.395.294,(*),-,41.550.395.294,(*),-,47180395294.0,,,41550395294.0,,
Công ty Cổ phần BOT 319Cường Thuận CTI,Công ty Cổ phần BOT 319Cường Thuận CTI,Công ty Cổ phần BOT 319Cường Thuận CTI,19.240.000.000,(*),-,14.000.000.000,(*),-,19240000000.0,,,14000000000.0,,
Công ty Cổ phần Công trìnhGiao thông Đồng Nai,Công ty Cổ phần Công trìnhGiao thông Đồng Nai,Công ty Cổ phần Công trìnhGiao thông Đồng Nai,1.711.890.000,12.405.000.000,-,1.711.890.000,11.462.220.000,-,1711890000.0,12405000000.0,,1711890000.0,11462220000.0,
Cộng,Cộng,Cộng,140.648.474.294,,-,129.778.474.294,,-,140648474294.0,,,129778474294.0,,
