row_label_raw,row_label_full,Khoản mục,Tại ngày01/01/2020VND,Tăngtrong nămVND,Giảmtrong nămVND,Tại ngày31/12/2020VND,numeric__Tại ngày01/01/2020VND,numeric__Tăngtrong nămVND,numeric__Giảmtrong nămVND,numeric__Tại ngày31/12/2020VND
Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,Bắt đông sản đầu tư cho thuê:,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Hệ thống đường KCN Biên Hòa 1,Nguyên giá: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,97.258.519.740,-,(35.250.469),97.223.269.271,97258519740.0,,-35250469.0,97223269271.0
Hệ thống thoát nước KCN Biên Hòa 1,Nguyên giá: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.438.070.440,-,-,14.438.070.440,14438070440.0,,,14438070440.0
Hệ thống điện KCN Biên Hòa 1,Nguyên giá: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.527.030.212,-,-,3.527.030.212,3527030212.0,,,3527030212.0
Cộng,Nguyên giá: > Cộng,Cộng,115.223.620.392,-,(35.250.469),115.188.369.923,115223620392.0,,-35250469.0,115188369923.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,91.281.625.307,2.668.843.885,-,93.950.469.192,91281625307.0,2668843885.0,,93950469192.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,14.371.190.007,16.720.108,-,14.387.910.115,14371190007.0,16720108.0,,14387910115.0
Hệ thống điện KCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,3.443.962.545,14.659.000,-,3.458.621.545,3443962545.0,14659000.0,,3458621545.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,109.096.777.859,2.700.222.993,-,111.797.000.852,109096777859.0,2700222993.0,,111797000852.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Hệ thống đường KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống đường KCN Biên Hòa 1,Hệ thống đường KCN Biên Hòa 1,5.976.894.433,,,3.272.800.079,5976894433.0,,,3272800079.0
Hệ thống thoát nước KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống thoát nước KCN Biên Hòa 1,Hệ thống thoát nước KCN Biên Hòa 1,66.880.433,,,50.160.325,66880433.0,,,50160325.0
Hệ thống điện KCN Biên Hòa 1,Giá trị còn lại: > Hệ thống điện KCN Biên Hòa 1,Hệ thống điện KCN Biên Hòa 1,83.067.667,,,68.408.667,83067667.0,,,68408667.0
Cộng,Giá trị còn lại: > Cộng,Cộng,6.126.842.533,,,3.391.369.071,6126842533.0,,,3391369071.0
