row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4
,,,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Cộng VND,,,,,
Tại ngày 01/01/2019,Tại ngày 01/01/2019,Tại ngày 01/01/2019,3.765.000.000.000,(90.100.000),24.716.673.476,229.211.203.430,4.018.837.776.906,3765000000000.0,-90100000.0,24716673476.0,229211203430.0,4018837776906.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,367.158.641.273,367.158.641.273,,,,367158641273.0,367158641273.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,16.208.000.000,(16.208.000.000),-,,,16208000000.0,-16208000000.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.776.000.000),(6.776.000.000),,,,-6776000000.0,-6776000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(338.842.620.000),(338.842.620.000),,,,-338842620000.0,-338842620000.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.765.000.000.000,(90.100.000),40.924.673.476,234.543.224.703,4.040.377.798.179,3765000000000.0,-90100000.0,40924673476.0,234543224703.0,4040377798179.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,418.944.170.834,418.944.170.834,,,,418944170834.0,418944170834.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.267.932.000,(3.267.932.000),-,,,3267932000.0,-3267932000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,(3.355.019.000),(3.355.019.000),,,,-3355019000.0,-3355019000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,-,(188.245.900.000),(188.245.900.000),,,,-188245900000.0,-188245900000.0
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,3.765.000.000.000,(90.100.000),44.192.605.476,458.618.544.537,4.267.721.050.013,3765000000000.0,-90100000.0,44192605476.0,458618544537.0,4267721050013.0
