row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiệnvận tải,truyền dẫnVND","Thiết bị,dụng cụquản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiệnvận tải,truyền dẫnVND","numeric__Thiết bị,dụng cụquản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2020,Nguyên giá: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.646.591.259,7.307.357.943,1.532.749.000,12.486.698.202,3646591259.0,7307357943.0,1532749000.0,12486698202.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,984.520.000,984.520.000,,,984520000.0,984520000.0
Tại ngày 31/12/2020,Nguyên giá: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,3.646.591.259,7.307.357.943,2.517.269.000,13.471.218.202,3646591259.0,7307357943.0,2517269000.0,13471218202.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2020,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,3.646.591.259,3.635.392.569,1.142.213.223,8.424.197.051,3646591259.0,3635392569.0,1142213223.0,8424197051.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,608.870.672,252.537.750,861.408.422,,608870672.0,252537750.0,861408422.0
Tại ngày 31/12/2020,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,3.646.591.259,4.244.263.241,1.394.750.973,9.285.605.473,3646591259.0,4244263241.0,1394750973.0,9285605473.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2020,Giá trị còn lại: > Tại ngày 01/01/2020,Tại ngày 01/01/2020,-,3.671.965.374,390.535.777,4.062.501.151,,3671965374.0,390535777.0,4062501151.0
Tại ngày 31/12/2020,Giá trị còn lại: > Tại ngày 31/12/2020,Tại ngày 31/12/2020,-,3.063.094.702,1.122.518.027,4.185.612.729,,3063094702.0,1122518027.0,4185612729.0
