row_label_raw,row_label_full,col_0,Tại ngày 31/12/2020 > Giá gốc,Tại ngày 31/12/2020 > Giá trị ghi sổ,Đvt: Ngân đồngTại ngày 01/01/2020 > Giá gốc,Đvt: Ngân đồngTại ngày 01/01/2020 > Giá trị ghi sổ,numeric__Tại ngày 31/12/2020 > Giá gốc,numeric__Tại ngày 31/12/2020 > Giá trị ghi sổ,numeric__Đvt: Ngân đồngTại ngày 01/01/2020 > Giá gốc,numeric__Đvt: Ngân đồngTại ngày 01/01/2020 > Giá trị ghi sổ
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Tiền gửi có kỳ hạn gốc dưới 12 tháng,Ngắn hạn: > Tiền gửi có kỳ hạn gốc dưới 12 tháng,Tiền gửi có kỳ hạn gốc dưới 12 tháng,957.895.000,957.895.000,900.833.000,900.833.000,957895000.0,957895000.0,900833000.0,900833000.0
,,,(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),(Xem trang tiếp theo),,,,
