row_label_raw,row_label_full,Tên,Chức vụ,Năm 2020 VND,Năm 2019 VND,numeric__Chức vụ,numeric__Năm 2020 VND,numeric__Năm 2019 VND
Bà Đỗ Thị Thu HằngÔng Phan Đình Thám,Bà Đỗ Thị Thu HằngÔng Phan Đình Thám,Bà Đỗ Thị Thu HằngÔng Phan Đình Thám,Chủ tịch Hội đồng quản trịTổng Giám đốc kiểmThành viên Hội đồng quản trị,1.410.670.125,1.480.711.248,,1410670125.0,1480711248.0
Ông Trần Thanh Hải,Ông Trần Thanh Hải,Ông Trần Thanh Hải,Thành viên Hội đồng quản trịkiềm Phó Tổng Giám đốc,1.242.637.652,1.413.803.048,,1242637652.0,1413803048.0
Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Bà Nguyễn Thị Hạnh,Thành viên Hội đồng quản trịkiềm Phó Tổng Giám đốc,1.193.544.752,1.324.630.103,,1193544752.0,1324630103.0
Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Ông Đình Ngọc Thuận,Thành viên Hội đồng quản trịkiềm Phó Tổng Giám đốc,1.172.690.488,1.324.630.103,,1172690488.0,1324630103.0
Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Ông Nguyễn Long Bôn,Phó Tổng Giám đốc (nghĩ hưutừ ngày 01/12/2020),1.393.514.780,826.599.813,,1393514780.0,826599813.0
Ông Chu Thanh Sơn,Ông Chu Thanh Sơn,Ông Chu Thanh Sơn,Phó Tổng Giám đốc (miễn nhiệmngày 01/05/2019),516.000.000,1.021.554.696,,516000000.0,1021554696.0
Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Thành viên Hội đồng quản trị,-,172.400.000,,,172400000.0
Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Ông Nguyễn Văn TuấnÔng Phạm Quốc Chí,Thành viên Hội đồng quản trị,216.281.302,234.738.552,,216281302.0,234738552.0
Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Bà Lê Thị Bích Loan,Kế toán trường (bổ nhiệmngày 01/05/2020),216.281.302,234.738.552,,216281302.0,234738552.0
Bà Phan Thủy Đoan,Bà Phan Thủy Đoan,Bà Phan Thủy Đoan,Kế toán trường (miễn nhiệmngày 01/05/2020),659.643.241,-,,659643241.0,
,,,,159.423.281,880.048.844,,159423281.0,880048844.0
Cộng,Cộng,Cộng,,8.180.686.923,8.913.854.959,,8180686923.0,8913854959.0
