row_label_raw,row_label_full,CHÍ TIÊU,Mã số,TM,Năm 2020,Năm 2019,numeric__Mã số,numeric__TM,numeric__Năm 2020,numeric__Năm 2019
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,5.1,183.315.167.859,122.935.074.676,1.0,51.0,183315167859.0,122935074676.0
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,2. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,183.315.167.859,122.935.074.676,10.0,,183315167859.0,122935074676.0
3. Giá vốn hàng bán,3. Giá vốn hàng bán,3. Giá vốn hàng bán,11,5.2,96.494.107.728,67.074.451.925,11.0,52.0,96494107728.0,67074451925.0
4. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,4. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,20,,86.821.060.131,55.860.622.751,20.0,,86821060131.0,55860622751.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,21,5.3,398.906.844.211,404.835.614.882,21.0,53.0,398906844211.0,404835614882.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,22,5.4,(5.213.576.487),5.186.667.422,22.0,54.0,-5213576487.0,5186667422.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,199.890.028,22.411.773,23.0,,199890028.0,22411773.0
7. Chi phí bán hàng,7. Chi phí bán hàng,7. Chi phí bán hàng,25,,2.129.447.848,832.525.082,25.0,,2129447848.0,832525082.0
8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,8. Chi phí quản lý doanh nghiệp,26,5.5,47.518.806.768,45.503.783.875,26.0,55.0,47518806768.0,45503783875.0
9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,9. Lợi nhuận thuần từ hoạt động kinh doanh,30,,441.293.226.213,409.173.261.254,30.0,,441293226213.0,409173261254.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,181.783.820,154.567.835,31.0,,181783820.0,154567835.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,32,,192.222.900,25.533.254,32.0,,192222900.0,25533254.0
12. Lợi nhuận khác,12. Lợi nhuận khác,12. Lợi nhuận khác,40,,(10.439.080),129.034.581,40.0,,-10439080.0,129034581.0
13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,13. Tổng lợi nhuận kế toán trước thuế,50,,441.282.787.133,409.302.295.835,50.0,,441282787133.0,409302295835.0
14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,14. Chi phí thuế TNDN hiện hành,51,5.7,22.338.616.299,42.143.654.562,51.0,57.0,22338616299.0,42143654562.0
15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,15. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,418.944.170.834,367.158.641.273,60.0,,418944170834.0,367158641273.0
