row_label_raw,row_label_full,col_0,Tại ngày 31/12/2020VND > Giá trị,Tại ngày 31/12/2020VND > Dự phòng,Tại ngày 01/01/2020VND > Giá trị,Tại ngày 01/01/2020VND > Dự phòng,numeric__Tại ngày 31/12/2020VND > Giá trị,numeric__Tại ngày 31/12/2020VND > Dự phòng,numeric__Tại ngày 01/01/2020VND > Giá trị,numeric__Tại ngày 01/01/2020VND > Dự phòng
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,,,
Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,Ngắn hạn: > Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,Phải thu cổ tức từ bên liên quan - Xem thêm mục 7,11.515.440.000,-,-,-,11515440000.0,,,
Phải thu khác từ bên liên quan - Xem thêm mục 7,Ngắn hạn: > Phải thu khác từ bên liên quan - Xem thêm mục 7,Phải thu khác từ bên liên quan - Xem thêm mục 7,1.025.539.734,-,-,-,1025539734.0,,,
Dự thu lãi tiền gửi,Ngắn hạn: > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,22.157.620.000,-,24.049.865.000,-,22157620000.0,,24049865000.0,
Phải thu cổ tức,Ngắn hạn: > Phải thu cổ tức,Phải thu cổ tức,1.106.700.000,-,-,-,1106700000.0,,,
Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mồ Đá Xuân Hòa,Ngắn hạn: > Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mồ Đá Xuân Hòa,Phải thu Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDCO - Mồ Đá Xuân Hòa,1.549.832.164,-,7.695.886.105,-,1549832164.0,,7695886105.0,
Phải thu người lao động,Ngắn hạn: > Phải thu người lao động,Phải thu người lao động,49.000.000,-,49.000.000,-,49000000.0,,49000000.0,
"Ký quỹ, ký cược","Ngắn hạn: > Ký quỹ, ký cược","Ký quỹ, ký cược",25.000.000.000,,25.000.000.000,,25000000000.0,,25000000000.0,
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,1.247.687.582,-,1.311.847.582,-,1247687582.0,,1311847582.0,
Cộng,Ngắn hạn: > Cộng,Cộng,63.651.819.480,,58.106.598.687,,63651819480.0,,58106598687.0,
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,,,
Phải thu khác từ bên liên quan - Xem thêm mục 7,Dải hạn: > Phải thu khác từ bên liên quan - Xem thêm mục 7,Phải thu khác từ bên liên quan - Xem thêm mục 7,1.076.538.000,-,1.031.515.500,-,1076538000.0,,1031515500.0,
