row_label_raw,row_label_full,col_0,Tại ngày31/12/2020VND,Tại ngày01/01/2020VND,numeric__Tại ngày31/12/2020VND,numeric__Tại ngày01/01/2020VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Trả trước cho người bán là bên liên quan -Xem thêm mục 7,Ngắn hạn: > Trả trước cho người bán là bên liên quan -Xem thêm mục 7,Trả trước cho người bán là bên liên quan -Xem thêm mục 7,189.028.000,-,189028000.0,
Trả trước cho người bán:,Trả trước cho người bán:,Trả trước cho người bán:,Trả trước cho người bán:,Trả trước cho người bán:,,
Công ty Cổ phần Aquus,Trả trước cho người bán: > Công ty Cổ phần Aquus,Công ty Cổ phần Aquus,620.159.320,-,620159320.0,
Công ty TNHH Công nghệ Môi trường Nông Lâm,Trả trước cho người bán: > Công ty TNHH Công nghệ Môi trường Nông Lâm,Công ty TNHH Công nghệ Môi trường Nông Lâm,158.400.000,-,158400000.0,
Công ty TNHH Tư vấn Thiết kế - Xây dựngKiến An Tường,Trả trước cho người bán: > Công ty TNHH Tư vấn Thiết kế - Xây dựngKiến An Tường,Công ty TNHH Tư vấn Thiết kế - Xây dựngKiến An Tường,157.000.000,-,157000000.0,
Trả trước cho người bán khác,Trả trước cho người bán: > Trả trước cho người bán khác,Trả trước cho người bán khác,70.125.000,1.753.679.850,70125000.0,1753679850.0
Cộng,Trả trước cho người bán: > Cộng,Cộng,1.194.712.320,1.753.679.850,1194712320.0,1753679850.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Trung tâm Phát triển Quỹ đất Huyện Vĩnh Cửu,Dài hạn: > Trung tâm Phát triển Quỹ đất Huyện Vĩnh Cửu,Trung tâm Phát triển Quỹ đất Huyện Vĩnh Cửu,200.000.000,200.000.000,200000000.0,200000000.0
