row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Số dư tại ngày 01 tháng 01 năm 2023,Số dư tại ngày 01 tháng 01 năm 2023,Số dư tại ngày 01 tháng 01 năm 2023,23.418.716.000.000,3.493.872.851.437,967.954.921.849,27.880.543.773.286,23418716000000.0,3493872851437.0,967954921849.0,27880543773286.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.200.089.996.302,1.200.089.996.302,,,1200089996302.0,1200089996302.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022,Trích quỹ đầu tư phát triển từ lợi nhuận năm 2022,-,290.386.476.554,(290.386.476.554),-,,290386476554.0,-290386476554.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022",-,-,(109.604.857.103),(109.604.857.103),,,-109604857103.0,-109604857103.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,23.418.716.000.000,3.784.259.327.991,1.768.053.584.494,28.971.028.912.485,23418716000000.0,3784259327991.0,1768053584494.0,28971028912485.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.207.172.676.391,1.207.172.676.391,,,1207172676391.0,1207172676391.0
Trích quỹ đầu tư phát triển từ lợi nhuận năm 2023 (i),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2023 (i),Trích quỹ đầu tư phát triển từ lợi nhuận năm 2023 (i),-,360.026.998.891,(360.026.998.891),-,,360026998891.0,-360026998891.0,
"Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023 (i)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023 (i)","Trích quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2023 (i)",-,-,(172.987.793.400),(172.987.793.400),,,-172987793400.0,-172987793400.0
Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),Phân phối lợi nhuận phát sinh bổ sung giai đoạn Công ty TNHH MTV (ii),-,-,(284.118.912.232),(284.118.912.232),,,-284118912232.0,-284118912232.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,23.418.716.000.000,4.144.286.326.882,2.158.092.556.362,29.721.094.883.244,23418716000000.0,4144286326882.0,2158092556362.0,29721094883244.0
