row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Số đầu năm > Tăng,Trong năm > (Giảm),Trong năm > VND Tăng/(giảm) chênh lệch tỷ giá,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Tăng,numeric__Trong năm > (Giảm),numeric__Trong năm > VND Tăng/(giảm) chênh lệch tỷ giá,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.987.879.090.875,5.987.879.090.875,2.588.800.377.922,(352.962.544.768),132.919.193.612,8.356.636.117.641,8.356.636.117.641,5987879090875.0,5987879090875.0,2588800377922.0,-352962544768.0,132919193612.0,8356636117641.0,8356636117641.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,5.987.879.090.875,5.987.879.090.875,2.588.800.377.922,(352.962.544.768),132.919.193.612,8.356.636.117.641,8.356.636.117.641,5987879090875.0,5987879090875.0,2588800377922.0,-352962544768.0,132919193612.0,8356636117641.0,8356636117641.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,
Số phải trả trong vòng 12 tháng,Trong đó: > Số phải trả trong vòng 12 tháng,Số phải trả trong vòng 12 tháng,352.962.544.768,352.962.544.768,,,,842.876.038.627,842.876.038.627,352962544768.0,352962544768.0,,,,842876038627.0,842876038627.0
Số phải trả sau 12 tháng,Trong đó: > Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,5.634.916.546.107,5.634.916.546.107,,,,7.513.760.079.014,7.513.760.079.014,5634916546107.0,5634916546107.0,,,,7513760079014.0,7513760079014.0
