row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm trước,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm trước
,,,Công ty Cổ phần Năng lượng Sông Hồng Công ty Cổ phần Điện khí LNG Quảng Ninh,Hoạt động kinh doanh có lãi Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh có lãi Hoạt động kinh doanh bị lỗ,,,
(i),(i),(i),Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE và HNX tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE và HNX tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản chứng khoán HOSE và HNX tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,,,
(ii),(ii),(ii),Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản UPCOM tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản UPCOM tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,Giá trị hợp lý của khoản đầu tư được xác định cần cứ vào giá đóng cửa của cổ phiếu trên sản UPCOM tại ngày gần nhất có giao dịch tính đến ngày 31 tháng 12 năm 2024.,,,
(iii),(iii),(iii),Tổng Công ty chưa đánh giá giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,Tổng Công ty chưa đánh giá giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,Tổng Công ty chưa đánh giá giá trị hợp lý của các khoản đầu tư tài chính này tại ngày kết thúc năm tài chính do các quy định hiện hành chưa có hướng dẫn cụ thể về việc xác định giá trị hợp lý của các khoản đầu tư tài chính vào các công ty chưa niêm yết này.,,,
(iv),(iv),(iv),"Tại ngày 31 tháng 12 năm 2024, 146.816.775 cổ phiếu NT2 của Công ty CP Điện lực dấu khí Nhơn Trạch 2 đã được thế chấp để đảm bảo cho khoản tiền vay của Tổng Công ty tại Ngân hàng TMCP Ngoại thương Việt Nam (xem Thuyết minh số 22).","Tại ngày 31 tháng 12 năm 2024, 146.816.775 cổ phiếu NT2 của Công ty CP Điện lực dấu khí Nhơn Trạch 2 đã được thế chấp để đảm bảo cho khoản tiền vay của Tổng Công ty tại Ngân hàng TMCP Ngoại thương Việt Nam (xem Thuyết minh số 22).","Tại ngày 31 tháng 12 năm 2024, 146.816.775 cổ phiếu NT2 của Công ty CP Điện lực dấu khí Nhơn Trạch 2 đã được thế chấp để đảm bảo cho khoản tiền vay của Tổng Công ty tại Ngân hàng TMCP Ngoại thương Việt Nam (xem Thuyết minh số 22).",,,
(v),(v),(v),"Tại ngày 31 tháng 12 năm 2024, Công ty Cổ phần Thủy điện Nậm Chiến không còn là công ty liên kết của Tổng Công ty do tỷ lệ sở hữu của Tổng Công ty giảm từ 20,16% tại ngày 31 tháng 12 năm 2023 xuống 15,49% từ ngày 29 tháng 11 năm 2024. Ngoài ra, tại ngày 31 tháng 12 năm 2024, Tổng Công ty đang nằm giữ và theo dõi số lượng cổ phiếu nhận được từ cổ tức từ Công ty này như sau:","Tại ngày 31 tháng 12 năm 2024, Công ty Cổ phần Thủy điện Nậm Chiến không còn là công ty liên kết của Tổng Công ty do tỷ lệ sở hữu của Tổng Công ty giảm từ 20,16% tại ngày 31 tháng 12 năm 2023 xuống 15,49% từ ngày 29 tháng 11 năm 2024. Ngoài ra, tại ngày 31 tháng 12 năm 2024, Tổng Công ty đang nằm giữ và theo dõi số lượng cổ phiếu nhận được từ cổ tức từ Công ty này như sau:","Tại ngày 31 tháng 12 năm 2024, Công ty Cổ phần Thủy điện Nậm Chiến không còn là công ty liên kết của Tổng Công ty do tỷ lệ sở hữu của Tổng Công ty giảm từ 20,16% tại ngày 31 tháng 12 năm 2023 xuống 15,49% từ ngày 29 tháng 11 năm 2024. Ngoài ra, tại ngày 31 tháng 12 năm 2024, Tổng Công ty đang nằm giữ và theo dõi số lượng cổ phiếu nhận được từ cổ tức từ Công ty này như sau:",,,
