row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,6.397.548.896.198,38.274.834.386.654,252.360.199.393,195.100.441.685,2.136.385.254.664,47.256.229.178.594,6397548896198.0,38274834386654.0,252360199393.0,195100441685.0,2136385254664.0,47256229178594.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,2.141.757.734,7.008.585.434,16.545.445.599,1.017.949.374,26.713.738.141,,2141757734.0,7008585434.0,16545445599.0,1017949374.0,26713738141.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.603.102.406,24.522.904.620,-,4.466.101.270,-,30.592.108.296,1603102406.0,24522904620.0,,4466101270.0,,30592108296.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,-,4.502.361.454,(4.502.361.454),-,-,,,4502361454.0,-4502361454.0,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(501.308.500),(1.461.409.255),(1.755.493.897),-,(3.718.211.652),,-501308500.0,-1461409255.0,-1755493897.0,,-3718211652.0
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,141.620.456,(1.186.324),-,-,-,140.434.132,141620456.0,-1186324.0,,,,140434132.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.399.293.619.060,38.300.996.554.184,262.409.737.026,209.854.133.203,2.137.403.204.038,47.309.957.247.511,6399293619060.0,38300996554184.0,262409737026.0,209854133203.0,2137403204038.0,47309957247511.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,3.144.359.770.612,25.033.589.288.971,212.421.716.072,146.302.552.710,713.085.918.829,29.249.759.247.194,3144359770612.0,25033589288971.0,212421716072.0,146302552710.0,713085918829.0,29249759247194.0
Trích khấu hao vào chi phí trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao vào chi phí trong năm,Trích khấu hao vào chi phí trong năm,276.568.902.409,1.213.494.183.054,9.113.632.568,17.867.707.383,89.884.389.846,1.606.928.815.260,276568902409.0,1213494183054.0,9113632568.0,17867707383.0,89884389846.0,1606928815260.0
