row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhậpdoanh nghiệp,a. Các khoản phải thu > Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,-,-,18.101.690.974,18.101.690.974,,,18101690974.0,18101690974.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,-,-,54,54,,,54.0,54.0
,,,-,-,18.101.691.028,18.101.691.028,,,18101691028.0,18101691028.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.534.083.924,441.806.858.215,447.340.942.139,-,5534083924.0,441806858215.0,447340942139.0,
Thuế xuất nhậpkhẩu,b. Các khoản phải trả > Thuế xuất nhậpkhẩu,Thuế xuất nhậpkhẩu,-,25.236.514.935,25.236.514.935,-,,25236514935.0,25236514935.0,
Thuế thu nhậpdoanh nghiệp,b. Các khoản phải trả > Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,73.748.657.697,122.712.511.618,196.461.169.315,-,73748657697.0,122712511618.0,196461169315.0,
Thuế thu nhập cánhân,b. Các khoản phải trả > Thuế thu nhập cánhân,Thuế thu nhập cánhân,6.144.333.829,54.531.907.415,50.832.829.306,9.843.411.938,6144333829.0,54531907415.0,50832829306.0,9843411938.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,98.124.270,8.313.870.200,7.405.492.940,1.006.501.530,98124270.0,8313870200.0,7405492940.0,1006501530.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,1.247.983.086,61.288.523.844,61.863.025.766,673.481.164,1247983086.0,61288523844.0,61863025766.0,673481164.0
,,,86.773.182.806,713.890.186.227,789.139.974.401,11.523.394.632,86773182806.0,713890186227.0,789139974401.0,11523394632.0
