row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số đầu năm > Dự phòng,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > VND Giá trị hợp lý
b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,,,,,,
Công ty Cổ phần Thủy điện Hứa Na (i),b1. Đầu tư vào công ty con > Công ty Cổ phần Thủy điện Hứa Na (i),Công ty Cổ phần Thủy điện Hứa Na (i),1.898.727.600.000,-,5.069.602.692.000,1.898.727.600.000,-,3.512.646.060.000,1898727600000.0,,5069602692000.0,1898727600000.0,,3512646060000.0
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 (i) (iv),b1. Đầu tư vào công ty con > Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 (i) (iv),Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2 (i) (iv),1.883.540.039.397,-,3.709.095.936.000,1.883.540.039.397,-,4.187.688.960.000,1883540039397.0,,3709095936000.0,1883540039397.0,,4187688960000.0
Công ty Cổ phần Thủy điện Đakdrinh (iii),b1. Đầu tư vào công ty con > Công ty Cổ phần Thủy điện Đakdrinh (iii),Công ty Cổ phần Thủy điện Đakdrinh (iii),1.105.110.800.000,-,,1.105.110.800.000,-,,1105110800000.0,,,1105110800000.0,,
Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),b1. Đầu tư vào công ty con > Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí (iii),137.700.000.000,18.249.664.617,,94.860.000.000,14.981.323.870,,137700000000.0,18249664617.0,,94860000000.0,14981323870.0,
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),b1. Đầu tư vào công ty con > Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),76.500.000.000,-,92.565.000.000,76.500.000.000,-,81.090.000.000,76500000000.0,,92565000000.0,76500000000.0,,81090000000.0
,,,5.101.578.439.397,18.249.664.617,,5.058.738.439.397,14.981.323.870,,5101578439397.0,18249664617.0,,5058738439397.0,14981323870.0,
b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Năng lượng Sông Hồng (iii),b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Năng lượng Sông Hồng (iii),Công ty Cổ phần Năng lượng Sông Hồng (iii),32.887.500.000,-,,32.887.500.000,-,,32887500000.0,,,32887500000.0,,
Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),Công ty Cổ phần Điện khí LNG Quảng Ninh (iii),30.000.000.000,3.974.681.734,,30.000.000.000,837.346.063,,30000000000.0,3974681734.0,,30000000000.0,837346063.0,
