row_label_raw,row_label_full,a),Ngắn hạn,numeric__Ngắn hạn
,,,Kinh phí công đoàn,
,,,Các khoản bảo hiểm,
,,,Phải trả lãi vay,
,,,"Nhận ký quỹ, ký cược ngắn hạn",
,,,"Cổ tức, lợi nhuận phải trả",
,,,Nhận vốn góp hợp đồng hợp tác đầu tư,
,,,Phải trả Upas L/C\( ^{(1)} \),
,,,Chi phí lãi từ hợp đồng hợp tác đầu tư,
,,,Thu hộ phí bảo trì các dự án\( ^{(2)} \),
,,,Phải trả tiền mượn vốn,
,,,Ký quỹ để chuyển nhượng khoản đầu tư\( ^{(3)} \),
,,,"Các khoản phải trả, phải nộp khác",
