row_label_raw,row_label_full,col_0,col_1,Năm 2022,Năm 2021,numeric__col_1,numeric__Năm 2022,numeric__Năm 2021
,,,,VND,VND,,,
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,,,,,
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp đầu kỳ,3.499.971.900.000,2.565.045.400.000,,3499971900000.0,2565045400000.0
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp tăng trong kỳ,299.637.810.000,934.926.500.000,,299637810000.0,934926500000.0
-,Vốn đầu tư của chủ sở hữu > -,-,Vốn góp cuối kỳ,3.799.609.710.000,3.499.971.900.000,,3799609710000.0,3499971900000.0
"Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:","Cổ tức, lợi nhuận đã chia:",,,,,
+,"Cổ tức, lợi nhuận đã chia: > +",+,"Cổ tức, lợi nhuận chia trên lợi nhuận kỳ trước",5.118.750.000,4.968.953.462,,5118750000.0,4968953462.0
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận đã chi trả bằng tiền",5.118.750.000,5.564.564.052,,5118750000.0,5564564052.0
+,"Cổ tức, lợi nhuận đã chia: > +",+,"Cổ tức, lợi nhuận chia trên lợi nhuận kỳ trước",5.118.750.000,5.564.564.052,,5118750000.0,5564564052.0
-,"Cổ tức, lợi nhuận đã chia: > -",-,"Cổ tức, lợi nhuận còn phải trả cuối kỳ",1.493.572.319,1.493.572.319,,1493572319.0,1493572319.0
c),c),c),Cổ phiếu,,,,,
,,,,31/12/2022,01/01/2022,,,
Số lượng cổ phiếu đăng ký phát hành,c) > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,379.960.971,349.997.190,,379960971.0,349997190.0
Số lượng cổ phiếu đã bán ra công chúng,c) > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,379.960.971,349.997.190,,379960971.0,349997190.0
-,c) > -,-,Cổ phiếu phổ thông,379.960.971,349.997.190,,379960971.0,349997190.0
Số lượng cổ phiếu đang lưu hành,c) > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,379.960.971,349.997.190,,379960971.0,349997190.0
-,c) > -,-,Cổ phiếu phổ thông,379.960.971,349.997.190,,379960971.0,349997190.0
Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,Mệnh giá cổ phiếu đang lưu hành 10.000 VND,,,,,
d),d),d),Các quỹ của Công ty,,,,,
,,,,31/12/2022,01/01/2022,,,
,,,,VND,VND,,,
Quỹ đầu tư phát triển,d) > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,12.021.402.005,12.021.402.005,,12021402005.0,12021402005.0
,,,,12.021.402.005,12.021.402.005,,12021402005.0,12021402005.0
