row_label_raw,row_label_full,col_0,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,Trong kỳ > Giảm từ hợp nhất kinh doanh,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__Trong kỳ > Giảm từ hợp nhất kinh doanh,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,VND,VND,,,,,,,
+ Công ty Cổ phần Chứng khoán Thành Công (11),+ Công ty Cổ phần Chứng khoán Thành Công (11),+ Công ty Cổ phần Chứng khoán Thành Công (11),44.817.873.300,44.817.873.300,57.432.033.384,88.352.214.634,-,13.897.692.050,13.897.692.050,44817873300.0,44817873300.0,57432033384.0,88352214634.0,,13897692050.0,13897692050.0
+ Công ty Cổ phần Chứng khoán Bản Việt (12),+ Công ty Cổ phần Chứng khoán Bản Việt (12),+ Công ty Cổ phần Chứng khoán Bản Việt (12),-,-,95.549.604.077,58.068.620.513,-,37.480.983.564,37.480.983.564,,,95549604077.0,58068620513.0,,37480983564.0,37480983564.0
+ Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (13),+ Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (13),+ Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam (13),-,-,18.667.278.980,12.309.157.941,-,6.358.121.039,6.358.121.039,,,18667278980.0,12309157941.0,,6358121039.0,6358121039.0
+ Công ty TNHH Đầu tư Đại La (14),+ Công ty TNHH Đầu tư Đại La (14),+ Công ty TNHH Đầu tư Đại La (14),-,-,200.000.000.000,91.450.000.000,-,108.550.000.000,108.550.000.000,,,200000000000.0,91450000000.0,,108550000000.0,108550000000.0
+ Công ty Cổ phần Phú Hữu Gia (15),+ Công ty Cổ phần Phú Hữu Gia (15),+ Công ty Cổ phần Phú Hữu Gia (15),-,-,26.950.000.000,800.000.000,-,26.150.000.000,26.150.000.000,,,26950000000.0,800000000.0,,26150000000.0,26150000000.0
+ Công ty TNHH Tư vấn Đầu tư và Dịch vụ Suinco (16),+ Công ty TNHH Tư vấn Đầu tư và Dịch vụ Suinco (16),+ Công ty TNHH Tư vấn Đầu tư và Dịch vụ Suinco (16),-,-,16.000.000.000,-,-,16.000.000.000,16.000.000.000,,,16000000000.0,,,16000000000.0,16000000000.0
+ Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (17),+ Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (17),+ Công ty TNHH Dịch vụ Thương mại Tư vấn Đầu tư Hòa Bình (17),-,-,12.000.000.000,-,-,12.000.000.000,12.000.000.000,,,12000000000.0,,,12000000000.0,12000000000.0
+ Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,+ Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,+ Công ty TNHH Đầu tư Công trình và Phát triển Công nghệ Future,-,-,215.000.000.000,215.000.000.000,-,-,-,,,215000000000.0,215000000000.0,,,
+ Cá nhân,+ Cá nhân,+ Cá nhân,-,-,48.415.000.000,-,,48.415.000.000,48.415.000.000,,,48415000000.0,,,48415000000.0,48415000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,,,,,,,,,,,,,
+ Trái phiếu phát hành năm 2021,- Trái phiếu > + Trái phiếu phát hành năm 2021,+ Trái phiếu phát hành năm 2021,246.563.416.666,246.563.416.666,3.436.583.334,250.000.000.000,-,-,-,246563416666.0,246563416666.0,3436583334.0,250000000000.0,,,
- Nợ dài hạn đến hạn trả,- Trái phiếu > - Nợ dài hạn đến hạn trả,- Nợ dài hạn đến hạn trả,297.018.750.009,297.018.750.009,499.880.751.720,484.500.000.008,-,312.399.501.721,312.399.501.721,297018750009.0,297018750009.0,499880751720.0,484500000008.0,,312399501721.0,312399501721.0
+ Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Đắk Lắk (18),- Trái phiếu > + Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Đắk Lắk (18),+ Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh Đắk Lắk (18),2.500.000.008,2.500.000.008,2.500.000.008,2.500.000.008,-,2.500.000.008,2.500.000.008,2500000008.0,2500000008.0,2500000008.0,2500000008.0,,2500000008.0,2500000008.0
+ Ngân hàng TMCP Việt Á - Chi nhánh Thành phố Hồ Chí Minh (19),- Trái phiếu > + Ngân hàng TMCP Việt Á - Chi nhánh Thành phố Hồ Chí Minh (19),+ Ngân hàng TMCP Việt Á - Chi nhánh Thành phố Hồ Chí Minh (19),-,-,177.500.000.000,-,-,177.500.000.000,177.500.000.000,,,177500000000.0,,,177500000000.0,177500000000.0
+ Ngân hàng TMCP Tiên Phong (20),- Trái phiếu > + Ngân hàng TMCP Tiên Phong (20),+ Ngân hàng TMCP Tiên Phong (20),-,-,41.666.666.667,-,-,41.666.666.667,41.666.666.667,,,41666666667.0,,,41666666667.0,41666666667.0
+ Trái phiếu thường (22),- Trái phiếu > + Trái phiếu thường (22),+ Trái phiếu thường (22),294.518.750.001,294.518.750.001,278.214.085.045,482.000.000.000,,90.732.835.046,90.732.835.046,294518750001.0,294518750001.0,278214085045.0,482000000000.0,,90732835046.0,90732835046.0
,,,1.040.752.930.972,1.040.752.930.972,2.022.272.356.027,1.904.229.733.839,(2.031.000.000),1.156.764.553.160,1.156.764.553.160,1040752930972.0,1040752930972.0,2022272356027.0,1904229733839.0,-2031000000.0,1156764553160.0,1156764553160.0
