row_label_raw,row_label_full,46.150.021.409,36.798.599.422,numeric__36.798.599.422
Năm 2022,Năm 2022,Năm 2022,Năm 2021,
VND,VND,VND,VND,
13.446.833.736,VND > 13.446.833.736,13.446.833.736,7.428.159.633,7428159633.0
697.475.659,VND > 697.475.659,697.475.659,759.145.765,759145765.0
(1.039.913.597),VND > (1.039.913.597),(1.039.913.597),(817.845.365),-817845365.0
(3.752.973.809),VND > (3.752.973.809),(3.752.973.809),(274.377.622),-274377622.0
9.351.421.989,VND > 9.351.421.989,9.351.421.989,7.095.082.411,7095082411.0
