row_label_raw,row_label_full,col_0,col_1,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,Trong kỳ > Tăng,Trong kỳ > Giảm,Trong kỳ > Giảm từ hợp nhất kinh doanh,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,numeric__col_1,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ,numeric__Trong kỳ > Tăng,numeric__Trong kỳ > Giảm,numeric__Trong kỳ > Giảm từ hợp nhất kinh doanh,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ
,,,,VND,VND,VND,VND,,VND,VND,,,,,,,,
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,,,
,,,+ Ngân hàng TMCP Việt Nam Thịnh Vương - Chi nhánh Đắk Lắk (18),15.208.333.318,15.208.333.318,-,2.500.000.008,-,12.708.333.310,12.708.333.310,,15208333318.0,15208333318.0,,2500000008.0,,12708333310.0,12708333310.0
,,,+ Ngân hàng TMCP Việt Á - Chi nhánh Thành phố Hồ Chí Minh (19),117.000.000.000,117.000.000.000,60.500.000.000,-,-,177.500.000.000,177.500.000.000,,117000000000.0,117000000000.0,60500000000.0,,,177500000000.0,177500000000.0
,,,+ Ngân hàng TMCP Tiên Phong (20),-,-,250.000.000.000,-,-,250.000.000.000,250.000.000.000,,,,250000000000.0,,,250000000000.0,250000000000.0
,,,+ Công ty Cổ phần Xuất Nhập Khẩu Tổng hợp I Việt Nam (21),9.616.799.996,9.616.799.996,10.117.500.000,-,-,19.734.299.996,19.734.299.996,,9616799996.0,9616799996.0,10117500000.0,,,19734299996.0,19734299996.0
,,,+ Trái phiếu thường (22),718.607.926.204,718.607.926.204,2.797.840.936,630.672.932.094,-,90.732.835.046,90.732.835.046,,718607926204.0,718607926204.0,2797840936.0,630672932094.0,,90732835046.0,90732835046.0
,,,,860.433.059.518,860.433.059.518,323.415.340.936,633.172.932.102,-,550.675.468.352,550.675.468.352,,860433059518.0,860433059518.0,323415340936.0,633172932102.0,,550675468352.0,550675468352.0
,,,Khoản đến hạn trả trong vòng 12 tháng,(297.018.750.009),(297.018.750.009),(499.880.751.720),(484.500.000.008),-,(312.399.501.721),(312.399.501.721),,-297018750009.0,-297018750009.0,-499880751720.0,-484500000008.0,,-312399501721.0,-312399501721.0
,,,Khoản đến hạn trả sau 12 tháng,563.414.309.509,563.414.309.509,,,,238.275.966.631,238.275.966.631,,563414309509.0,563414309509.0,,,,238275966631.0,238275966631.0
