row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu kỳ,Nguyên giá > Số dư đầu kỳ,Số dư đầu kỳ,43.484.939.916,5.190.090.433,697.830.000,49.372.860.349,43484939916.0,5190090433.0,697830000.0,49372860349.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,43.484.939.916,5.190.090.433,697.830.000,49.372.860.349,43484939916.0,5190090433.0,697830000.0,49372860349.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,11.838.475.591,4.025.730.910,697.830.000,16.562.036.501,11838475591.0,4025730910.0,697830000.0,16562036501.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,1.001.091.078,399.880.945,-,1.400.972.023,1001091078.0,399880945.0,,1400972023.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,12.839.566.669,4.425.611.855,697.830.000,17.963.008.524,12839566669.0,4425611855.0,697830000.0,17963008524.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu kỳ,Giá trị còn lại > Tại ngày đầu kỳ,Tại ngày đầu kỳ,31.646.464.325,1.164.359.523,-,32.810.823.848,31646464325.0,1164359523.0,,32810823848.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,30.645.373.247,764.478.578,-,31.409.851.825,30645373247.0,764478578.0,,31409851825.0
