row_label_raw,row_label_full,col_0,Mã chứng khoán,31/12/2022 > Giá gốc (*),31/12/2022 > Giá trị hợp lý,31/12/2022 > Dự phòng,01/01/2022 > Giá gốc,01/01/2022 > Giá trị hợp lý,01/01/2022 > Dự phòng,numeric__Mã chứng khoán,numeric__31/12/2022 > Giá gốc (*),numeric__31/12/2022 > Giá trị hợp lý,numeric__31/12/2022 > Dự phòng,numeric__01/01/2022 > Giá gốc,numeric__01/01/2022 > Giá trị hợp lý,numeric__01/01/2022 > Dự phòng
,,,Mã chứng khoán,VND,VND,VND,VND,VND,VND,,,,,,,
- Công ty Cổ phần Tập đoàn Masan,- Công ty Cổ phần Tập đoàn Masan,- Công ty Cổ phần Tập đoàn Masan,MSN,-,-,-,7.591.370.000,7.695.000.000,-,,,,,7591370000.0,7695000000.0,
- Ngân hàng Thương mại Cổ phần Á Châu,- Ngân hàng Thương mại Cổ phần Á Châu,- Ngân hàng Thương mại Cổ phần Á Châu,ACB,-,-,-,1.343.462,1.725.000,-,,,,,1343462.0,1725000.0,
- Công ty Cổ phần FPT,- Công ty Cổ phần FPT,- Công ty Cổ phần FPT,FPT,-,-,-,42.288.571.569,41.543.100.000,(745.471.569),,,,,42288571569.0,41543100000.0,-745471569.0
- Công ty Cổ phần Tập đoàn Hòa Phát,- Công ty Cổ phần Tập đoàn Hòa Phát,- Công ty Cổ phần Tập đoàn Hòa Phát,HPG,47.438.411.204,30.591.720.000,(16.846.691.204),110.248.633.448,109.587.520.000,(661.113.448),,47438411204.0,30591720000.0,-16846691204.0,110248633448.0,109587520000.0,-661113448.0
- Công ty Cổ phần Chứng khoán SSI,- Công ty Cổ phần Chứng khoán SSI,- Công ty Cổ phần Chứng khoán SSI,SSI,1.900.021.276,1.558.485.000,(341.536.276),15.731.562.000,15.540.000.000,(191.562.000),,1900021276.0,1558485000.0,-341536276.0,15731562000.0,15540000000.0,-191562000.0
- Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,- Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,- Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HCM,-,-,-,3.037.589.384,5.243.875.000,-,,,,,3037589384.0,5243875000.0,
- Tổng Công Ty Phát Triển Đỏ Thị Kinh Bắc - CTCP,- Tổng Công Ty Phát Triển Đỏ Thị Kinh Bắc - CTCP,- Tổng Công Ty Phát Triển Đỏ Thị Kinh Bắc - CTCP,KBC,-,-,-,2.404.601.500,2.432.000.000,-,,,,,2404601500.0,2432000000.0,
- Ngân hàng TMCP Kỹ Thương Việt Nam,- Ngân hàng TMCP Kỹ Thương Việt Nam,- Ngân hàng TMCP Kỹ Thương Việt Nam,TCB,-,-,-,24.708.323.750,23.500.000.000,(1.208.323.750),,,,,24708323750.0,23500000000.0,-1208323750.0
- Công ty Cổ phần Đầu tư Thế giới Di động,- Công ty Cổ phần Đầu tư Thế giới Di động,- Công ty Cổ phần Đầu tư Thế giới Di động,MWG,-,-,-,8.865.690.227,8.969.400.000,-,,,,,8865690227.0,8969400000.0,
- Công ty Cổ phần DNP Holding,- Công ty Cổ phần DNP Holding,- Công ty Cổ phần DNP Holding,DNP,56.421.430.890,88.970.640.000,-,56.421.430.890,72.288.645.000,-,,56421430890.0,88970640000.0,,56421430890.0,72288645000.0,
- Công ty Cổ phần Đầu tư Alphanam,- Công ty Cổ phần Đầu tư Alphanam,- Công ty Cổ phần Đầu tư Alphanam,ALP,7.243.518.147,7.243.518.147,-,7.243.518.147,7.243.518.147,-,,7243518147.0,7243518147.0,,7243518147.0,7243518147.0,
- Công ty Cổ phần Phân lân Nung chảy Văn Điền,- Công ty Cổ phần Phân lân Nung chảy Văn Điền,- Công ty Cổ phần Phân lân Nung chảy Văn Điền,VAF,-,-,-,430.776,739.200,-,,,,,430776.0,739200.0,
- Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,- Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,- Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan đầu khí,PVD,-,-,-,1.634.807,1.956.900,-,,,,,1634807.0,1956900.0,
- Ngân hàng Thương mại Cổ phần Quân đội,- Ngân hàng Thương mại Cổ phần Quân đội,- Ngân hàng Thương mại Cổ phần Quân đội,MBB,9.655.567.492,5.793.480.000,(3.862.087.492),-,-,-,,9655567492.0,5793480000.0,-3862087492.0,,,
- Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,- Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,- Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,SJS,85.822.540.016,53.990.482.000,(31.832.058.016),-,-,-,,85822540016.0,53990482000.0,-31832058016.0,,,
