row_label_raw,row_label_full,col_0,Môi quan hệ,Năm 2022,Năm 2021,numeric__Môi quan hệ,numeric__Năm 2022,numeric__Năm 2021
,,,Môi quan hệ,VND,VND,,,
Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,Lãi hợp tác đầu tư phải trả,,-,10.827.967.123,,,10827967123.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,10.827.967.123,,,10827967123.0
Tạm ứng,Tạm ứng,Tạm ứng,,18.401.020.220,770.000.000,,18401020220.0,770000000.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Bên liên quan,18.401.020.220,770.000.000,,18401020220.0,770000000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,218.777.523,123.759.993,,218777523.0,123759993.0
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty liên kết,218.777.523,123.759.993,,218777523.0,123759993.0
Cho vay,Cho vay,Cho vay,,37.950.000.000,6.260.000.000,,37950000000.0,6260000000.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,-,3.130.000.000,,,3130000000.0
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,37.950.000.000,-,,37950000000.0,
Thu hồi tiền cho vay,Thu hồi tiền cho vay,Thu hồi tiền cho vay,,36.100.000.000,-,,36100000000.0,
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,36.100.000.000,-,,36100000000.0,
