row_label_raw,row_label_full,col_0,col_1,31/12/2022 > Giá trị,31/12/2022 > Dự phòng,01/01/2022 > Giá trị,01/01/2022 > Dự phòng,numeric__col_1,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Dự phòng,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Dự phòng
,,,,VND,VND,VND,VND,,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,
a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,a.1) Chi tiết theo nội dung,,,,,
,,,- Phải thu các khoản bảo hiểm,141.256.899,-,-,-,,141256899.0,,,
,,,"- Ký quỹ, ký cược (4)",6.074.116.283,-,5.067.577.367,-,,6074116283.0,,5067577367.0,
,,,- Tạm ứng,70.383.111.423,-,38.971.626.271,-,,70383111423.0,,38971626271.0,
,,,- Phải thu tiền chuyển nhượng khoản đầu tư (5),169.800.000.000,-,13.500.000.000,-,,169800000000.0,,13500000000.0,
,,,"- Phải thu vốn góp, lãi từ các hợp đồng hợp tác đầu tư (1)",330.283.778.748,-,700.954.200.949,-,,330283778748.0,,700954200949.0,
,,,- Phải thu lãi vay,12.441.149.828,-,14.907.034.137,-,,12441149828.0,,14907034137.0,
,,,- Tạm ứng cho Trung tâm Phát triển Quỹ đất Nhơn Trạch (2),248.977.063.000,-,286.221.387.000,-,,248977063000.0,,286221387000.0,
,,,"- Tiền đèn bù, giải phóng mặt bằng chờ cần trừ tiền thuê đất (3)",19.595.898.576,-,21.544.931.003,-,,19595898576.0,,21544931003.0,
,,,- Phải thu tiền bán chứng khoán kinh doanh,-,-,7.520.635.000,-,,,,7520635000.0,
,,,- Phải thu khác,9.683.295.835,-,8.831.763.657,-,,9683295835.0,,8831763657.0,
,,,,867.379.670.592,-,1.097.519.155.384,-,,867379670592.0,,1097519155384.0,
a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,a.2) Chi tiết theo đối tượng,,,,,
,,,Bên liên quan,19.070.907.872,-,85.058.190.946,-,,19070907872.0,,85058190946.0,
,,,- Ông Trần Việt Anh,17.000.000.000,-,83.750.000.000,-,,17000000000.0,,83750000000.0,
,,,- Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,922.515.064,-,-,-,,922515064.0,,,
,,,- Bên liên quan khác,1.148.392.808,-,1.308.190.946,-,,1148392808.0,,1308190946.0,
,,,Bên khác,848.308.762.720,-,1.012.460.964.438,-,,848308762720.0,,1012460964438.0,
,,,- Công ty CP Capella Group,8.758.096.897,-,-,-,,8758096897.0,,,
,,,- Trung tâm Phát triển Quỹ đất Nhơn Trạch,248.977.063.000,-,286.221.387.000,-,,248977063000.0,,286221387000.0,
,,,- Các khách hàng khác,590.573.602.823,-,726.239.577.438,-,,590573602823.0,,726239577438.0,
,,,,867.379.670.592,-,1.097.519.155.384,-,,867379670592.0,,1097519155384.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,
,,,Chi tiết theo nội dung,Chi tiết theo nội dung,Chi tiết theo nội dung,Chi tiết theo nội dung,Chi tiết theo nội dung,,,,,
,,,"- Tiền đến bù, giải phóng mặt bằng chờ cần trừ tiền thuê đất (3)",11.975.357.864,-,14.645.683.975,-,,11975357864.0,,14645683975.0,
,,,"- Ký cược, ký quỹ (4)",4.824.731.056,-,4.289.500.000,-,,4824731056.0,,4289500000.0,
,,,- Vốn góp hợp đồng hợp tác đầu tư,-,-,1.250.000.000,-,,,,1250000000.0,
,,,- Phải thu khác,491.346.810,-,266.978.880,-,,491346810.0,,266978880.0,
,,,,17.291.435.730,-,20.452.162.855,-,,17291435730.0,,20452162855.0,
