row_label_raw,row_label_full,col_0,Cáp và vật liệu viễn thông,Xây dựng và kinh doanh bất động sản,Đầu tư tài chính và lĩnh vực khác,Tổng cộng toán doanh nghiệp,numeric__Cáp và vật liệu viễn thông,numeric__Xây dựng và kinh doanh bất động sản,numeric__Đầu tư tài chính và lĩnh vực khác,numeric__Tổng cộng toán doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.924.736.286.801,63.057.263.357,121.271.036.404,2.109.064.586.562,1924736286801.0,63057263357.0,121271036404.0,2109064586562.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,105.341.192.002,32.741.730.683,26.502.291.633,164.585.214.318,105341192002.0,32741730683.0,26502291633.0,164585214318.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,1.399.534.000,142.860.600,59.967.892.973,61.510.287.573,1399534000.0,142860600.0,59967892973.0,61510287573.0
Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,Tài sản bộ phận trực tiếp,1.407.800.071.883,1.228.698.818.588,4.600.834.796.617,7.237.333.687.088,1407800071883.0,1228698818588.0,4600834796617.0,7237333687088.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.407.800.071.883,1.228.698.818.588,4.600.834.796.617,7.237.333.687.088,1407800071883.0,1228698818588.0,4600834796617.0,7237333687088.0
Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,Nợ phải trả bộ phận trực tiếp,888.082.512.614,436.402.557.080,1.263.329.543.185,2.587.814.612.879,888082512614.0,436402557080.0,1263329543185.0,2587814612879.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,46.150.021.409,,,,46150021409.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,888.082.512.614,436.402.557.080,1.263.329.543.185,2.633.964.634.288,888082512614.0,436402557080.0,1263329543185.0,2633964634288.0
