row_label_raw,row_label_full,col_0,Công ty Cổ phầnCapella Quảng Nam,Công ty Cổ phầnĐầu tư và phát triểnKhu Công NghiệpNhân Hòa,Tổng cộng,numeric__Công ty Cổ phầnCapella Quảng Nam,numeric__Công ty Cổ phầnĐầu tư và phát triểnKhu Công NghiệpNhân Hòa,numeric__Tổng cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
- Số dư đầu kỳ,Nguyên giá > - Số dư đầu kỳ,- Số dư đầu kỳ,7.831.086.589,58.481.887.023,66.312.973.612,7831086589.0,58481887023.0,66312973612.0
- Giảm do thanh lý khoản đầu tư trong kỳ,Nguyên giá > - Giảm do thanh lý khoản đầu tư trong kỳ,- Giảm do thanh lý khoản đầu tư trong kỳ,-,(58.481.887.023),(58.481.887.023),,-58481887023.0,-58481887023.0
- Số dư cuối kỳ,Nguyên giá > - Số dư cuối kỳ,- Số dư cuối kỳ,7.831.086.589,-,7.831.086.589,7831086589.0,,7831086589.0
Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,,,
- Số dư đầu kỳ,Số phân bổ lũy kế > - Số dư đầu kỳ,- Số dư đầu kỳ,783.108.659,4.386.141.527,5.169.250.186,783108659.0,4386141527.0,5169250186.0
- Số phân bổ trong kỳ,Số phân bổ lũy kế > - Số phân bổ trong kỳ,- Số phân bổ trong kỳ,783.108.659,5.848.188.701,6.631.297.360,783108659.0,5848188701.0,6631297360.0
- Giảm do thanh lý khoản đầu tư trong kỳ,Số phân bổ lũy kế > - Giảm do thanh lý khoản đầu tư trong kỳ,- Giảm do thanh lý khoản đầu tư trong kỳ,-,(10.234.330.228),(10.234.330.228),,-10234330228.0,-10234330228.0
- Số dư cuối kỳ,Số phân bổ lũy kế > - Số dư cuối kỳ,- Số dư cuối kỳ,1.566.217.318,-,1.566.217.318,1566217318.0,,1566217318.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
- Số dư đầu kỳ,Giá trị còn lại > - Số dư đầu kỳ,- Số dư đầu kỳ,7.047.977.930,54.095.745.496,61.143.723.426,7047977930.0,54095745496.0,61143723426.0
- Số dư cuối kỳ,Giá trị còn lại > - Số dư cuối kỳ,- Số dư cuối kỳ,6.264.869.271,-,6.264.869.271,6264869271.0,,6264869271.0
