row_label_raw,row_label_full,Lãi cho vay,col_1,2.055.711.778,181.373.700,numeric__col_1,numeric__2.055.711.778,numeric__181.373.700
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,1.133.196.714,159.798.138,,1133196714.0,159798138.0
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,922.515.064,21.575.562,,922515064.0,21575562.0
Vay,Vay,Vay,,52.086.309.476,89.270.547.703,,52086309476.0,89270547703.0
Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Cổ đông,12.232.964.476,61.030.547.703,,12232964476.0,61030547703.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,26.950.000.000,-,,26950000000.0,
Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,Bên liên quan khác,12.903.345.000,28.240.000.000,,12903345000.0,28240000000.0
Hoàn trả vay,Hoàn trả vay,Hoàn trả vay,,7.032.964.476,41.215.500.021,,7032964476.0,41215500021.0
Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Công ty Cổ phần Chứng khoán Quốc Gia,Cổ đông,6.232.964.476,41.215.500.021,,6232964476.0,41215500021.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,800.000.000,-,,800000000.0,
Lãi vay,Lãi vay,Lãi vay,,13.637.918.118,8.868.478.627,,13637918118.0,8868478627.0
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty liên kết,199.101.370,-,,199101370.0,
Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,Công ty Cổ phần Đầu tư Infinity Group,Bên liên quan khác,13.637.918.118,8.868.478.627,,13637918118.0,8868478627.0
Góp vốn,Góp vốn,Góp vốn,,721.871.497.304,-,,721871497304.0,
Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty CP Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty liên kết,721.871.497.304,-,,721871497304.0,
