row_label_raw,row_label_full,col_0,Số phải thuđầu kỳ,Số phải nộpđầu kỳ,Số phải nộptrong kỳ,Số đã thực nộptrong kỳ,Hợp nhất kinhdoanh,Số phải thucuối kỳ,Số phải nộpcuối kỳ,numeric__Số phải thuđầu kỳ,numeric__Số phải nộpđầu kỳ,numeric__Số phải nộptrong kỳ,numeric__Số đã thực nộptrong kỳ,numeric__Hợp nhất kinhdoanh,numeric__Số phải thucuối kỳ,numeric__Số phải nộpcuối kỳ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,840.971.322,56.599.615.922,55.032.421.175,-,-,2.408.166.069,,840971322.0,56599615922.0,55032421175.0,,,2408166069.0
Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,Thuế Tiêu thụ đặc biệt,-,405.817.620,5.928.072.413,4.661.756.643,-,-,1.672.133.390,,405817620.0,5928072413.0,4661756643.0,,,1672133390.0
"Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu","Thuế Xuất khẩu, Nhập khẩu",104.791.182,3.781.593,2.289.522.501,2.259.602.465,-,74.871.146,3.781.593,104791182.0,3781593.0,2289522501.0,2259602465.0,,74871146.0,3781593.0
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,28.823.922.963,24.128.926.571,37.980.890.512,-,-,14.971.959.022,,28823922963.0,24128926571.0,37980890512.0,,,14971959022.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,1.672.100.275,7.845.318.563,8.564.835.373,66.029.816,-,1.018.613.281,,1672100275.0,7845318563.0,8564835373.0,66029816.0,,1018613281.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",-,-,10.530.367.244,10.530.367.244,-,-,-,,,10530367244.0,10530367244.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,10.272.555,1.394.366.508,1.279.541.261,(1.117.521),-,123.980.281,,10272555.0,1394366508.0,1279541261.0,-1117521.0,,123980281.0
"Phí, lệ phí và các khoản phải nộpkhác","Phí, lệ phí và các khoản phải nộpkhác","Phí, lệ phí và các khoản phải nộpkhác",-,-,41.394.879,41.394.879,-,-,-,,,41394879.0,41394879.0,,,
,,,104.791.182,31.756.866.328,108.757.584.601,120.350.809.552,64.912.295,74.871.146,20.198.633.636,104791182.0,31756866328.0,108757584601.0,120350809552.0,64912295.0,74871146.0,20198633636.0
