row_label_raw,row_label_full,Số đầu năm,Nguyên giá > 185.090.978.661,Hao mòn lũy kế > 21.940.988.160,Giá trị còn lại > 163.149.990.501,numeric__Nguyên giá > 185.090.978.661,numeric__Hao mòn lũy kế > 21.940.988.160,numeric__Giá trị còn lại > 163.149.990.501
Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,31.972.268.997,,,31972268997.0,,
Khẩu hao trong năm,Khẩu hao trong năm,Khẩu hao trong năm,,3.742.046.958,,,3742046958.0,
Số cuối năm,Số cuối năm,Số cuối năm,217.063.247.658,25.683.035.118,191.380.212.540,217063247658.0,25683035118.0,191380212540.0
