row_label_raw,row_label_full,col_0,Chi phí nghiên cứu và triển khai,Phần mềm máy tính,Cộng,numeric__Chi phí nghiên cứu và triển khai,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,412.500.000,10.813.220.086,11.225.720.086,412500000.0,10813220086.0,11225720086.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,412.500.000,10.813.220.086,11.225.720.086,412500000.0,10813220086.0,11225720086.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,3.104.257.521,3.104.257.521,,3104257521.0,3104257521.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,185.625.000,4.725.180.263,4.910.805.263,185625000.0,4725180263.0,4910805263.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.250.000,554.418.756,595.668.756,41250000.0,554418756.0,595668756.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,226.875.000,5.279.599.019,5.506.474.019,226875000.0,5279599019.0,5506474019.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,226.875.000,6.088.039.823,6.314.914.823,226875000.0,6088039823.0,6314914823.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,185.625.000,5.533.621.067,5.719.246.067,185625000.0,5533621067.0,5719246067.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,,,
