row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,388.644.836.245,654.840.912.543,-,(633.760.346.450),409.725.402.338,388644836245.0,654840912543.0,,-633760346450.0,409725402338.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,164.751.600.000,-,89.908.594.300,(164.751.600.000),89.908.594.300,164751600000.0,,89908594300.0,-164751600000.0,89908594300.0
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,1.000.000.000.000,-,-,(1.000.000.000.000),-,1000000000000.0,,,-1000000000000.0,
Cộng,Cộng,Cộng,1.553.396.436.245,654.840.912.543,89.908.594.300,(1.798.511.946.450),499.633.996.638,1553396436245.0,654840912543.0,89908594300.0,-1798511946450.0,499633996638.0
