row_label_raw,row_label_full,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam Singapore,Số cuối năm > 5.251.509.837,Số đầu năm > 15.400.902.959,numeric__Số cuối năm > 5.251.509.837,numeric__Số đầu năm > 15.400.902.959
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,114.655.521,73.984.227,114655521.0,73984227.0
Công ty TNHH Tokyu Development,Công ty TNHH Tokyu Development,Công ty TNHH Tokyu Development,32.248.000,32.248.000,32248000.0,32248000.0
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,32.507.478,41.368.129,32507478.0,41368129.0
Công ty Cổ phần Cao su Bình Dương,Công ty Cổ phần Cao su Bình Dương,Công ty Cổ phần Cao su Bình Dương,534.285,1.260.366,534285.0,1260366.0
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,634.321.384.345,671.053.009.938,634321384345.0,671053009938.0
Cộng,Cộng,Cộng,823.831.688.446,895.969.250.763,823831688446.0,895969250763.0
