row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.370.973.230.000,10.420.226.000,-,98.790.860.309,181.054.703.968,1.661.239.020.277,1370973230000.0,10420226000.0,,98790860309.0,181054703968.0,1661239020277.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,232.986.396.506,232.986.396.506,,,,,232986396506.0,232986396506.0
Tăng vốn từ Quỹ đầu tư phát triển trong năm,Tăng vốn từ Quỹ đầu tư phát triển trong năm,Tăng vốn từ Quỹ đầu tư phát triển trong năm,-,-,4.162.826.677,(4.162.826.677),-,-,,,4162826677.0,-4162826677.0,,
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,14.830.701.262,(35.247.508.351),(20.416.807.089),,,,14830701262.0,-35247508351.0,-20416807089.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,(137.097.323.000),(137.097.323.000),,,,,-137097323000.0,-137097323000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.370.973.230.000,10.420.226.000,4.162.826.677,109.458.734.894,241.696.269.123,1.736.711.286.694,1370973230000.0,10420226000.0,4162826677.0,109458734894.0,241696269123.0,1736711286694.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.370.973.230.000,10.420.226.000,4.162.826.677,109.458.734.894,241.696.269.123,1.736.711.286.694,1370973230000.0,10420226000.0,4162826677.0,109458734894.0,241696269123.0,1736711286694.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,284.441.774.230,284.441.774.230,,,,,284441774230.0,284441774230.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,10.971.535.680,(35.261.351.380),(24.289.815.700),,,,10971535680.0,-35261351380.0,-24289815700.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,(164.516.787.600),(164.516.787.600),,,,,-164516787600.0,-164516787600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,4.162.826.677,120.430.270.574,326.359.904.373,1.832.346.457.624,1370973230000.0,10420226000.0,4162826677.0,120430270574.0,326359904373.0,1832346457624.0
