row_label_raw,row_label_full,col_0,Lĩnh vực bản vế câu đường,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực kinh doanh bất động sản đầu tư_1,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bản vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực kinh doanh bất động sản đầu tư_1,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tải sản trực tiếp của bộ phận,Số cuối năm > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,523.492.845.236,6.147.325.182.846,192.778.295.552,9.179.441.690,478.698.783.999,42.798.674.046,7.394.273.223.369,523492845236.0,6147325182846.0,192778295552.0,9179441690.0,478698783999.0,42798674046.0,7394273223369.0
Tải sản phân bổ cho bộ phận,Tải sản phân bổ cho bộ phận,Tải sản phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tải sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,153.056.241.119,,,,,,,153056241119.0
Tổng tài sản,Tải sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,7.547.329.464.488,,,,,,,7547329464488.0
Nợ phải trả trực tiếp của bộ phận,Tải sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,37.571.982.641,3.967.022.325.737,4.098.666.418,75.354.985.359,-,38.775.191.710,4.122.823.151.865,37571982641.0,3967022325737.0,4098666418.0,75354985359.0,,38775191710.0,4122823151865.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.592.159.854.999,,,,,,,1592159854999.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,5.714.983.006.864,,,,,,,5714983006864.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tải sản trực tiếp của bộ phận,Số đầu năm > Tải sản trực tiếp của bộ phận,Tải sản trực tiếp của bộ phận,503.316.058.916,6.560.406.115.731,166.420.664.827,27.679.998.375,486.232.318.315,77.173.452.536,7.821.228.608.700,503316058916.0,6560406115731.0,166420664827.0,27679998375.0,486232318315.0,77173452536.0,7821228608700.0
Tải sản phân bổ cho bộ phận,Tải sản phân bổ cho bộ phận,Tải sản phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tải sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,316.967.344.892,,,,,,,316967344892.0
Tổng tài sản,Tải sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,8.138.195.953.592,,,,,,,8138195953592.0
Nợ phải trả trực tiếp của bộ phận,Tải sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,18.612.665.749,4.540.920.692.850,196.541.679.804,112.493.929.298,48.972.147.185,50.130.710.219,4.967.671.825.105,18612665749.0,4540920692850.0,196541679804.0,112493929298.0,48972147185.0,50130710219.0,4967671825105.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.433.812.841.793,,,,,,,1433812841793.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.401.484.666.898,,,,,,,6401484666898.0
