row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu dưỡng,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu dưỡng,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,285.891.848.261,882.791.252.511,22.022.364.541,83.242.205.106,18.072.588.542,307.795.464.221,1.599.815.723.182,285891848261.0,882791252511.0,22022364541.0,83242205106.0,18072588542.0,307795464221.0,1599815723182.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,285.891.848.261,882.791.252.511,22.022.364.541,83.242.205.106,18.072.588.542,307.795.464.221,1.599.815.723.182,285891848261.0,882791252511.0,22022364541.0,83242205106.0,18072588542.0,307795464221.0,1599815723182.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,210.996.334.980,141.597.589.787,8.032.243.585,(1.722.255.304),(7.532.419.168),80.811.841.881,432.183.335.761,210996334980.0,141597589787.0,8032243585.0,-1722255304.0,-7532419168.0,80811841881.0,432183335761.0
Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chỉ phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,432.183.335.761,,,,,,,432183335761.0
Doanh thu hoạt động tài chính,Các chỉ phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,10.310.514.524,,,,,,,10310514524.0
Chi phí tài chính,Các chỉ phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(98.788.257.449),,,,,,,-98788257449.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,-,,,,,,,
Thu nhập khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,15.092.678.504,,,,,,,15092678504.0
Chi phí khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,(13.835.143.373),,,,,,,-13835143373.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(60.521.353.737),,,,,,,-60521353737.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,284.441.774.230,,,,,,,284441774230.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,50.966.992.319,3.680.193.649,-,-,-,5.390.053.845,60.037.239.813,50966992319.0,3680193649.0,,,,5390053845.0,60037239813.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,37.768.538.345,1.008.206.580,7.237.399.800,-,-,2.164.489.160,48.178.633.885,37768538345.0,1008206580.0,7237399800.0,,,2164489160.0,48178633885.0
