row_label_raw,row_label_full,col_0,CHÍ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,Lưu chuyển tiền tử hoạt động kinh doanh,,,,,
1.,1. > 1.,1.,Lợi nhuận trước thuế,01,,344.963.127.967,282.323.297.615,,1.0,,344963127967.0,282323297615.0
2.,2.,2.,Điều chính cho các khoản:,,,,,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,V.9;V.10;V.11;V.14,38.330.216.711,38.161.240.282,,2.0,,38330216711.0,38161240282.0
-,2. > -,-,Các khoản dự phòng,03,,-,-,,3.0,,,
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,VI.5,1.170.230,(1.759.911),,4.0,,1170230.0,-1759911.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,VI.4;VI.9,(9.659.517.254),(4.926.537.621),,5.0,,-9659517254.0,-4926537621.0
-,2. > -,-,Chi phí lãi vay,06,VI.5,56.196.620.478,68.638.002.970,,6.0,,56196620478.0,68638002970.0
-,2. > -,-,Các khoản điều chỉnh khác,07,,-,-,,7.0,,,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,429.831.618.132,384.194.243.335,,8.0,,429831618132.0,384194243335.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,88.563.980.059,89.718.253.119,,9.0,,88563980059.0,89718253119.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,449.987.351.565,26.049.634.613,,10.0,,449987351565.0,26049634613.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,347.090.758.741,206.020.636.867,,11.0,,347090758741.0,206020636867.0
-,2. > -,-,"Tăng, giảm chỉ phí trả trước",12,,5.857.690.299,4.167.431.468,,12.0,,5857690299.0,4167431468.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,-,,13.0,,,
-,2. > -,-,Tiền lãi vay đã trả,14,"V.7, V.19;VI.4",(165.277.522.979),(181.321.265.415),,14.0,,-165277522979.0,-181321265415.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,V.17,(64.705.726.820),(50.569.022.555),,15.0,,-64705726820.0,-50569022555.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,-,,16.0,,,
-,2. > -,-,Tiền chỉ khác cho hoạt động kinh doanh,17,V.23,(12.894.437.297),(8.705.831.064),,17.0,,-12894437297.0,-8705831064.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.078.453.711.700,469.554.080.368,,20.0,,1078453711700.0,469554080368.0
II.,II.,II.,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,Lưu chuyển tiền tử hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,V.9;V.13;VII,(45.294.332.604),(25.568.429.422),,21.0,,-45294332604.0,-25568429422.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,V.9;V1.8;V1.9,33.150.000,-,,22.0,,33150000.0,
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua các công cụ nợ của đơn vị khác",23,V.2,(49.000.000.000),(38.000.000.000),,23.0,,-49000000000.0,-38000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,V.2,35.000.000.000,24.500.000.000,,24.0,,35000000000.0,24500000000.0
5.,II. > 5.,5.,Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,,-,-,,25.0,,,
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.5;VI.4,9.198.478.277,4.205.940.452,,27.0,,9198478277.0,4205940452.0
,,,Lưu chuyển tiền thuần tử hoạt động đầu tư,30,,(50.062.704.327),(34.862.488.970),,30.0,,-50062704327.0,-34862488970.0
