row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.671.201.451,1.634.224.398,1671201451.0,1634224398.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hợp đồng xây dựng (i),Trong đó: > Hợp đồng xây dựng (i),Hợp đồng xây dựng (i),1.249.056.805,1.057.963.082,1249056805.0,1057963082.0
"Hoạt động sản xuất, trồng trọt","Trong đó: > Hoạt động sản xuất, trồng trọt","Hoạt động sản xuất, trồng trọt",422.144.646,576.261.316,422144646.0,576261316.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,280.410.763,265.784.804,280410763.0,265784804.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",43.032.558,28.405.951,43032558.0,28405951.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,20.781.235,13.662.344,20781235.0,13662344.0
Hàng mua đang đi đường,Trong đó: > Hàng mua đang đi đường,Hàng mua đang đi đường,1.689.524,-,1689524.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,2.017.115.531,1.942.077.497,2017115531.0,1942077497.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(79.685.477),(61.251.659),-79685477.0,-61251659.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.937.430.054,1.880.825.838,1937430054.0,1880825838.0
