row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,601.008.221,4.562.908,-,605.571.129,601008221.0,4562908.0,,605571129.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,128.922.430,321.458.904,(450.381.334),-,128922430.0,321458904.0,-450381334.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,729.930.651,326.021.812,(450.381.334),605.571.129,729930651.0,326021812.0,-450381334.0,605571129.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,(536.416.422),322.463.858,(450.381.334),(664.333.898),-536416422.0,322463858.0,-450381334.0,-664333898.0
Chi phí hoạt động,Kết quả hoạt động kinh doanh > Chi phí hoạt động,Chi phí hoạt động,,,,(173.525.655),,,,-173525655.0
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(837.859.553),,,,-837859553.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,36.109.178,,,,36109178.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(343.586.331),,,,-343586331.0
Chia lãi từ công ty liên kết,Kết quả hoạt động kinh doanh > Chia lãi từ công ty liên kết,Chia lãi từ công ty liên kết,,,,34.923.794,,,,34923794.0
Lỗ kế toán trước thuế,Kết quả hoạt động kinh doanh > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(1.110.412.912),,,,-1110412912.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(895.594),,,,-895594.0
Thu nhập thuế thu nhập hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,,12.847.788,,,,12847788.0
Lỗ thuần trong năm,Kết quả hoạt động kinh doanh > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(1.098.460.718),,,,-1098460718.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,,,,
Tải sản của bộ phận,Tải sản và nợ phải trả > Tải sản của bộ phận,Tải sản của bộ phận,10.546.483.302,3.209.849.972,-,13.756.333.274,10546483302.0,3209849972.0,,13756333274.0
Đầu tư vào công ty liên kết,Tải sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,339.446.064,-,-,339.446.064,339446064.0,,,339446064.0
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,14.095.779.338,,,,14095779338.0
Nợ phải trả của bộ phận,Tải sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(11.082.184.053),(757.888.314),-,(11.840.072.367),-11082184053.0,-757888314.0,,-11840072367.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(11.840.072.367),,,,-11840072367.0
